"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 16:34:43";="590781795";Nombre RSA correctement chainés;47;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:34:43";="590781795";Nombre RSA groupés en CM 90;0;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:01";="620100677";Nombre RSA avec Diags COVID-19 (sauf U07.13);35;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:01";="620100677";Nombre RSA avec Diags COVID-19;35;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:01";="620100677";Nombre RSA correctement chainés;35;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:01";="620100677";Nombre RSA groupés en CM 90;0;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:37:40";="590781415";Nombre RSA avec Diags COVID-19 (sauf U07.13);318;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:40";="590781415";Nombre RSA avec Diags COVID-19;319;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:40";="590781415";Nombre RSA correctement chainés;318;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:40";="590781415";Nombre RSA groupés en CM 90;1;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:46";="620103440";Nombre RSA avec Diags COVID-19 (sauf U07.13);304;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:46";="620103440";Nombre RSA avec Diags COVID-19;950;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:46";="620103440";Nombre RSA correctement chainés;949;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:46";="620103440";Nombre RSA groupés en CM 90;0;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:13:37";="800000085";Nombre RSA avec Diags COVID-19 (sauf U07.13);45;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:37";="800000085";Nombre RSA avec Diags COVID-19;45;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:37";="800000085";Nombre RSA correctement chainés;45;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:37";="800000085";Nombre RSA groupés en CM 90;0;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:48:16";="590780193";Nombre RSA avec Diags COVID-19 (sauf U07.13);946;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:16";="590780193";Nombre RSA avec Diags COVID-19;1438;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:16";="590780193";Nombre RSA correctement chainés;1428;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:16";="590780193";Nombre RSA groupés en CM 90;4;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:25:21";="020004404";Nombre RSA avec Diags COVID-19 (sauf U07.13);207;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:21";="020004404";Nombre RSA avec Diags COVID-19;228;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:21";="020004404";Nombre RSA correctement chainés;225;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:21";="020004404";Nombre RSA groupés en CM 90;1;2023.7;X020004404;31AUG23;12:24:34
