"champ";"statut";"annee";"periode";"date du resultat";"ipe";cage;nbh;nbf;nb;pcth;pctf;pct;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:23:06";="590000600";6;86;195;281;19.634703196;36.516853933;28.909465021;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:24:39";="620025346";0;277;231;508;7.1189925469;4.1787264834;5.3933538592;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:39";="620025346";2;30;11;41;0.7710100231;0.1989869754;0.4352903705;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:39";="620025346";3;97;130;227;2.4929324081;2.3516642547;2.4100222954;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:39";="620025346";4;1772;2987;4759;45.540992033;54.034008683;50.525533496;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:39";="620025346";5;1436;1520;2956;36.905679774;27.496382055;31.383374031;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:39";="620025346";6;279;649;928;7.1703932151;11.740231548;9.8524259476;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:10";="590001749";3;8;21;29;0.5567153793;1.2345679012;0.9241555131;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:10";="590001749";4;794;838;1632;55.254001392;49.265138154;52.007648184;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:10";="590001749";5;492;537;1029;34.237995825;31.569664903;32.791586998;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:10";="590001749";6;143;305;448;9.9512874043;17.930629042;14.276609305;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:22";="590781670";3;1;1;2;0.2386634845;0.1470588235;0.1819836215;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:22";="590781670";4;74;142;216;17.661097852;20.882352941;19.654231119;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:22";="590781670";5;210;280;490;50.119331742;41.176470588;44.585987261;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:22";="590781670";6;134;257;391;31.980906921;37.794117647;35.577797998;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:50:25";="020000261";0;316;269;585;2.7003930952;2.1711057304;2.4281919309;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:25";="020000261";1;98;71;169;0.8374636814;0.5730427764;0.7014776689;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:25";="020000261";2;261;183;444;2.2303879679;1.4769975787;1.8429354142;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:25";="020000261";3;182;211;393;1.5552896941;1.7029862793;1.6312468869;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:25";="020000261";4;3713;5549;9262;31.729618869;44.786117837;38.444296862;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:25";="020000261";5;6444;4614;11058;55.067509827;37.239709443;45.899053628;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:25";="020000261";6;688;1493;2181;5.8793368655;12.050040355;9.0527976092;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:18";="620100651";0;331;314;645;2.3324642379;2.0418780075;2.181338564;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:18";="620100651";1;154;119;273;1.0851948418;0.7738327481;0.9232642294;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:18";="620100651";2;319;282;601;2.2479036009;1.8337885291;2.0325340728;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:18";="620100651";3;272;418;690;1.9167077725;2.7181688126;2.3335249755;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:18";="620100651";4;5706;7093;12799;40.208582905;46.124333463;43.285197335;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:18";="620100651";5;6365;5221;11586;44.852371221;33.951098973;39.182928067;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:18";="620100651";6;1044;1931;2975;7.356775421;12.556899467;10.061212757;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:39:52";="620027839";1;11;;11;0.0993407387;;0.0496883187;2023.7;X620027839;29AUG23;16:39:44
