"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;col1;col4;col6;col5;col1_am;col1_coef;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_sejc;-29551.80529;-25961.02334;-3590.781956;-25779.29617;-29344.94265;-29344.94265;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_ghs50;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_exh;237940.91552;182428.85353;55512.061987;177854.70292;231566.007;236275.32911;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_9615;8543.26465;7198.668945;1344.595705;7148.2782624;8483.4617975;8483.4617975;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_rap;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_ant;14401.784022;11186.16915;3215.614872;10167.969615;13361.075183;14300.971534;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_rdth;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_jrea;1554790.6674;1030583.5429;524207.1245;977158.98395;1497519.0007;1543907.1327;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_rep;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_nn1;180846.80541;131501.90032;49344.905092;130290.39786;179289.88861;179580.87778;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_nn2;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_nn3;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_po;9224.417475;9224.417475;0;9159.8465527;9159.8465527;9159.8465527;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_caisson;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_suppdia;119975.67531;78149.992518;41825.682794;75958.622096;117351.91871;119135.84558;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_sdc;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_supp_inno;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_ctc;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_sc_v;73609.776855;48532.618875;25077.15798;45725.414547;70484.737462;73094.508417;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_si_v;443614.03347;333902.6939;109711.33957;320648.82604;424623.92434;440508.73524;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_tot;26596446.516;19165149.583;7431296.9334;17835631.624;24817883.112;26410271.391;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:28";="620003376";coefgeo;;1;1;;;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:28";="620003376";coefp;;0.993;0.993;;;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:28";="620003376";coefrep;;0.9853;0.9841;;;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:28";="620003376";coefseg;;0.9897;0.9931;;;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:28";="620003376";mnt_ghs;18494806.383;11286881.336;7207925.047;10793552.156;17611778.129;18365342.738;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:28";="620003376";mnt_sejc;-10440.67419;-4717.528982;-5723.145208;-4467.806686;-10150.88988;-10367.58947;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:28";="620003376";mnt_ghs50;0;0;0;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:28";="620003376";mnt_exh;64786.397315;35360.745399;29425.651916;35113.220181;62459.880484;64332.892534;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:28";="620003376";mnt_9615;0;0;0;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:28";="620003376";mnt_rap;0;0;0;0;0;0;2023.7;X620003376;25AUG23;10:37:19
