"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;ghs;eff;nbj;nb0j;mnt_ghs_am;mnt_exinf_am;mnt_ghs50_am;mnt_exh_am;mnt_9615_am;mnt_rdth_am;mnt_rea_am;mnt_rep_am;mnt_si_am;mnt_sc_am;mnt_suppdia_am;mnt_nn1_am;mnt_nn2_am;mnt_nn3_am;mnt_caisson_am;mnt_ant_am;mnt_rap_am;mnt_sdc_am;mnt_ctc_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";19M07T;5780;2;1;1;609.5294072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";19M16T;5787;3;3;0;801.4710216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";19M20T;5791;1;0;1;262.1134776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";19M22T;5793;10;4;6;2883.2885408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";20Z051;5797;18;16;2;5279.9540576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";21M07T;5849;1;0;1;345.7373712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";21M144;7603;1;6;0;7964.9489904;0;0;0;0;0;0;0;716.4822176;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";21M14T;5854;7;4;3;2221.8746424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";22Z03Z;5862;1;0;1;354.1558048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";23M20T;5877;1;1;0;329.6043504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";26C021;8802;1;7;0;7556.7887304;0;0;0;0;0;0;0;1553.0357856;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";26C023;8804;1;11;0;15284.601914;0;0;0;0;0;3878.018976;0;0;1553.043804;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/29 09:29:51";="590782652";14C08A;5326;1;7;0;2703.9407928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 14:41:07";="590001749";05M06T;5295;1;0;1;351.64739966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:41:07";="590001749";06M09T;5378;1;0;1;331.50467213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:52:14";="020000261";03M071;842;1;1;0;1129.7707952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:14";="020000261";05K14Z;1721;1;0;1;731.6228712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:14";="020000261";05M151;1780;1;5;0;1334.9652016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:14";="020000261";07M061;2524;2;4;0;4563.19554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:14";="020000261";07M06T;2528;1;1;0;743.30568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:14";="020000261";07M14Z;2560;1;8;0;2261.6859408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:14";="020000261";10M072;3922;1;7;0;2759.2757712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:14";="020000261";18M042;6773;2;8;0;5151.741816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:14";="020000261";23M06T;7907;1;0;1;216.0237144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:14";="020000261";23Z02Z;7994;1;18;0;5656.7887584;0;0;2582.0370576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:14";="020000261";28Z04Z;9605;20;20;0;6021.497664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:14";="020000261";28Z07Z;9606;1;1;0;335.2432504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:53";="620100651";14Z13A;5490;1;6;0;2235.8868792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";04M093;1163;1;71;0;6119.8474177;0;0;4820.4932693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";04M172;1201;1;3;0;2964.74113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";05K052;1694;1;3;0;3406.5705321;0;0;0;0;0;0;0;1133.2273542;0;0;0;0;0;0;0;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";08M36Z;3154;1;52;0;1337.397518;0;0;9583.6553858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";12C071;4531;1;1;0;1038.4814794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";19M07T;5780;1;1;0;306.64221178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";23M16T;5875;1;1;0;257.01870683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:43:40";="020000287";14C08A;5326;1;4;0;2703.9407928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:40";="020000287";14Z14A;5495;1;3;0;1837.9141864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:40";="020000287";23M061;7963;1;3;0;1287.113568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000287;30AUG23;8:42:17
