"champ";"statut";"annee";"periode";"date du resultat";"ipe";let_ghm;adnp_11;adnp_10;adnp_21;adnp_20;adnp_v1;adnp_v0;adnp_x1;adnp_x0;Total_Dans;Total_Hors;Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 14:59:37";="020000048";M;4;0;1;0;74;170;0;0;79;170;249;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 14:59:37";="020000048";Z;0;0;0;0;9;29;0;0;9;29;38;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:42:49";="590782215";C;18;2;693;8;25;528;0;0;736;538;1274;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:49";="590782215";K;14;1;322;8;2;210;0;0;338;219;557;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:49";="590782215";M;157;2;406;9;23;3089;0;0;586;3100;3686;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:49";="590782215";Z;6;0;6;0;15;99;0;0;27;99;126;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:58:31";="620100685";C;16;0;258;1;21;261;0;0;295;262;557;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:31";="620100685";K;13;0;223;0;16;88;0;0;252;88;340;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:31";="620100685";M;100;3;190;5;56;2132;0;0;346;2140;2486;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:31";="620100685";Z;13;0;2;0;5;34;0;0;20;34;54;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:53:49";="800000069";K;1;0;14;0;0;1;0;0;15;1;16;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:53:49";="800000069";M;19;3;13;0;0;486;0;0;32;489;521;2023.7;X800000069;31AUG23;18:53:23
