"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;mois;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";FPX;3;76;1490.36;1490.346273;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";FPX;4;79;1549.19;1549.182156;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";FPX;5;87;1706.07;1706.056273;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";FPX;6;72;1411.92;1411.916078;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";FPX;7;55;1078.55;1078.544117;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";FU0;3;26;1322.1;1322.1;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";FU0;4;32;1627.2;1627.2;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";FU0;5;23;1169.55;1169.55;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";FU0;6;23;1169.55;1169.55;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";FU0;7;24;1220.4;1220.4;0;0;0;2023.7;X590781605;24AUG23;9:38:44
