"champ";"statut";"annee";"periode";"date du resultat";"ipe";cretc;COUNT;PERCENT;pctcum;effcum;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 15:19:51";="590052056";300000000;1;0.0100553042;100;9945;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:35:15";="590781795";000000000;866;99.884659746;99.884659746;866;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:35:15";="590781795";200000000;1;0.1153402537;100;867;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:19";="620100677";000000000;3251;99.938518291;99.938518291;3251;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:19";="620100677";000000010;1;0.0307408546;99.969259145;3252;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:19";="620100677";999910011;1;0.0307408546;100;3253;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:38:09";="590781415";000000000;34343;99.631563679;99.631563679;34343;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:09";="590781415";100000000;6;0.0174064404;99.648970119;34349;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:09";="590781415";200000000;87;0.2523933856;99.901363504;34436;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:09";="590781415";999910011;34;0.0986364955;100;34470;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:39:17";="620103440";000000000;46677;99.649879379;99.649879379;46677;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:17";="620103440";100000000;42;0.089665037;99.739544416;46719;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:17";="620103440";200000000;122;0.2604555838;100;46841;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:13:54";="800000085";000000000;1489;99.13448735;99.13448735;1489;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:54";="800000085";000000010;3;0.1997336884;99.334221039;1492;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:54";="800000085";200000000;7;0.466045273;99.800266312;1499;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:54";="800000085";999910011;3;0.1997336884;100;1502;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:49:52";="590780193";000000000;132254;97.66497312;97.66497312;132254;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:52";="590780193";000000001;7;0.0051692562;97.670142376;132261;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:52";="590780193";200000000;2999;2.2146570568;99.884799433;135260;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:52";="590780193";999910011;156;0.1152005671;100;135416;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:25:55";="020004404";000000000;9193;98.913277383;98.913277383;9193;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:55";="020004404";000000010;6;0.0645577792;98.977835162;9199;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:55";="020004404";200000000;93;1.0006455778;99.97848074;9292;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:55";="020004404";999910011;2;0.0215192597;100;9294;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:26:13";="590781605";000000000;14073;99.294433077;99.294433077;14073;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:13";="590781605";000000010;26;0.1834474;99.477880477;14099;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:13";="590781605";200000000;73;0.5150638538;99.992944331;14172;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:13";="590781605";999910011;1;0.0070556692;100;14173;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:29:31";="590781811";000000000;138;100;100;138;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:34:13";="800000093";000000000;3078;99.19432807;99.19432807;3078;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:13";="800000093";000000010;5;0.1611343861;99.355462456;3083;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:13";="800000093";200000000;19;0.6123106671;99.967773123;3102;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:13";="800000093";999910011;1;0.0322268772;100;3103;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:53:27";="600100713";000000000;34744;99.527342519;99.527342519;34744;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:27";="600100713";000000010;67;0.1919275831;99.719270102;34811;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:27";="600100713";200000000;96;0.2750007161;99.994270818;34907;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:27";="600100713";999910011;2;0.0057291816;100;34909;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:59:56";="020000048";000000000;391;97.75;97.75;391;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 14:59:56";="020000048";000000001;1;0.25;98;392;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 14:59:56";="020000048";000000010;4;1;99;396;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 14:59:56";="020000048";999910011;4;1;100;400;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:43:52";="590782215";000000000;68596;99.091368725;99.091368725;68596;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:52";="590782215";000000001;2;0.0028891296;99.094257855;68598;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:52";="590782215";200000000;599;0.8652943301;99.959552185;69197;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:52";="590782215";999910011;28;0.0404478151;100;69225;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:59:28";="620100685";000000000;39597;98.414315894;98.414315894;39597;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:28";="620100685";000000001;9;0.0223685846;98.436684479;39606;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:28";="620100685";000000010;76;0.1888902697;98.625574748;39682;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:28";="620100685";200000000;545;1.3545420654;99.980116814;40227;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:28";="620100685";300000000;6;0.0149123897;99.995029203;40233;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:28";="620100685";999910011;2;0.0049707966;100;40235;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:54:10";="800000069";000000000;3502;99.97145304;99.97145304;3502;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:54:10";="800000069";200000000;1;0.0285469597;100;3503;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 08:07:03";="020000071";000000000;220;97.345132743;97.345132743;220;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:07:03";="020000071";000000001;2;0.8849557522;98.230088496;222;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:07:03";="020000071";000000010;2;0.8849557522;99.115044248;224;2023.7;X020000071;01SEP23;8:06:20
