"champ";"statut";"annee";"periode";"date du resultat";"ipe";type_test;code;code_c;nbtot;i;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 11:16:00";="800000085";1;INF-IF;INF;122;2;2023.7;X800000085;31AUG23;11:15:58
"mco";"dgf";"2023";"7";"2023/08/31 11:16:00";="800000085";1;INF-IN;INF;269;2;2023.7;X800000085;31AUG23;11:15:58
"mco";"dgf";"2023";"7";"2023/08/31 11:16:00";="800000085";1;PCR;PCR;820;2;2023.7;X800000085;31AUG23;11:15:58
"mco";"dgf";"2023";"7";"2023/08/31 11:16:00";="800000085";1;PCR-F;PCR;104;2;2023.7;X800000085;31AUG23;11:15:58
"mco";"dgf";"2023";"7";"2023/08/31 11:16:00";="800000085";1;PCR-N;PCR;209;2;2023.7;X800000085;31AUG23;11:15:58
"mco";"dgf";"2023";"7";"2023/08/31 11:16:00";="800000085";1;PRA;PRA;1555;2;2023.7;X800000085;31AUG23;11:15:58
"mco";"dgf";"2023";"7";"2023/08/31 11:16:00";="800000085";2;ADB;ADB;41;2;2023.7;X800000085;31AUG23;11:15:58
"mco";"dgf";"2023";"7";"2023/08/31 11:16:00";="800000085";2;INF-I;INF;41;2;2023.7;X800000085;31AUG23;11:15:58
"mco";"dgf";"2023";"7";"2023/08/31 11:16:00";="800000085";2;INF-IF;INF;0;2;2023.7;X800000085;31AUG23;11:15:58
"mco";"dgf";"2023";"7";"2023/08/31 11:16:00";="800000085";2;INF-IN;INF;0;2;2023.7;X800000085;31AUG23;11:15:58
"mco";"dgf";"2023";"7";"2023/08/31 12:29:07";="020004404";1;INF-I;INF;653;2;2023.7;X020004404;31AUG23;12:29:05
"mco";"dgf";"2023";"7";"2023/08/31 12:29:07";="020004404";1;INF-IF;INF;7;2;2023.7;X020004404;31AUG23;12:29:05
"mco";"dgf";"2023";"7";"2023/08/31 12:29:07";="020004404";1;INF-IN;INF;13;2;2023.7;X020004404;31AUG23;12:29:05
"mco";"dgf";"2023";"7";"2023/08/31 12:29:07";="020004404";1;PCR;PCR;1965;2;2023.7;X020004404;31AUG23;12:29:05
"mco";"dgf";"2023";"7";"2023/08/31 12:29:07";="020004404";1;PCR-F;PCR;309;2;2023.7;X020004404;31AUG23;12:29:05
"mco";"dgf";"2023";"7";"2023/08/31 12:29:07";="020004404";1;PCR-N;PCR;202;2;2023.7;X020004404;31AUG23;12:29:05
"mco";"dgf";"2023";"7";"2023/08/31 12:29:07";="020004404";1;PRA;PRA;2450;2;2023.7;X020004404;31AUG23;12:29:05
"mco";"dgf";"2023";"7";"2023/08/31 12:29:07";="020004404";2;INF-I;INF;4199;2;2023.7;X020004404;31AUG23;12:29:05
"mco";"dgf";"2023";"7";"2023/08/31 12:29:07";="020004404";2;INF-IF;INF;731;2;2023.7;X020004404;31AUG23;12:29:05
