"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 14:11:32";="590782165";Nombre RSA correctement chainés;207;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:32";="590782165";Nombre RSA groupés en CM 90;2;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:33";="620101360";Nombre RSA avec Diags avec antécédents de covid-19;59;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:33";="620101360";Nombre RSA correctement chainés;59;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:33";="620101360";Nombre RSA groupés en CM 90;0;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:08";="590781662";Nombre RSA avec Diags avec antécédents de covid-19;0;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:08";="590781662";Nombre RSA correctement chainés;0;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:08";="590781662";Nombre RSA groupés en CM 90;0;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:04:55";="590781621";Nombre RSA avec Diags avec antécédents de covid-19;58;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:55";="590781621";Nombre RSA correctement chainés;58;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:55";="590781621";Nombre RSA groupés en CM 90;0;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:19:38";="590052056";Nombre RSA avec Diags avec antécédents de covid-19;0;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:38";="590052056";Nombre RSA correctement chainés;0;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:38";="590052056";Nombre RSA groupés en CM 90;0;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:34:55";="590781795";Nombre RSA avec Diags avec antécédents de covid-19;3;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:34:55";="590781795";Nombre RSA correctement chainés;3;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:34:55";="590781795";Nombre RSA groupés en CM 90;0;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:07";="620100677";Nombre RSA avec Diags avec antécédents de covid-19;6;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:07";="620100677";Nombre RSA correctement chainés;6;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:07";="620100677";Nombre RSA groupés en CM 90;0;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:37:47";="590781415";Nombre RSA avec Diags avec antécédents de covid-19;51;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:47";="590781415";Nombre RSA correctement chainés;51;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:47";="590781415";Nombre RSA groupés en CM 90;0;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:56";="620103440";Nombre RSA avec Diags avec antécédents de covid-19;82;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:56";="620103440";Nombre RSA correctement chainés;81;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:56";="620103440";Nombre RSA groupés en CM 90;0;2023.7;X620103440;31AUG23;10:37:57
