"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;ghs;nb;mnt_br;mnt_tot_am;taux_app;mtm;mnt_fj;mpf;rac;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";07M021;2514;1;2669.96645;2301.5124864;92.23;717.32;139.2;4.56;861.08;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";07M102;2545;1;3666.4134;3231.686961;89.64;1216.92;30.6;1.28;1248.8;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";07M103;2546;1;6436.489956;5740.8543255;91.83;2016.73;126;2.4;2145.13;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";07M13Z;2558;3;2491.246719;2230.3451762;97.3;717.87;174;2.67;894.54;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";07M13Z;2583;3;1118.071038;1070.3671138;96.413333333;649.5;0;0.1;649.6;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";07M14Z;2560;2;5654.214852;5308.407012;96.39;1376.44;102;1.54;1479.98;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C142;2765;1;3770.732784;3602.3271196;98.42;1500.61;71.2;11.65;1583.46;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C14J;2768;1;1417.933764;1367.6632993;98.44;247.98;0;18.38;266.36;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C271;2791;1;3995.879433;3802.1838933;99.11;669.26;114;16.41;799.67;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C272;2792;1;5781.597159;5577.5733356;99.41;1347.69;116.4;13.28;1477.37;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C321;2808;1;3378.816759;3266.5909738;99.05;566.6;38;18.7;623.3;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C322;2809;1;5457.02235;5209.7414312;99.3;1367.96;155.2;15.95;1539.11;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C323;2810;1;13727.983208;12229.727889;99.5;2185.42;1319.2;14.8;3519.42;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C341;2817;2;7527.433368;7064.0036107;99.12;844;304;40.96;1188.96;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C351;2821;1;2753.625065;2631.9464976;99.03;411.37;57;18.88;487.25;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C35J;5440;1;1587.452763;1505.2126475;96.61;261.31;0;17.69;279;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C371;2831;2;4701.937153;4410.3213864;99.29;798.87;192;33.6;1024.47;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C391;2841;1;2132.79417;2041.3884699;99.07;368.45;38;18.78;425.23;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C43J;2865;1;2032.103112;1981.7203333;99.06;240.83;0;17.19;258.02;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C44J;2870;4;5970.638605;5714.8544122;97.505;949.11;0;66.08;1015.19;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C481;2885;1;5380.505576;5051.9949424;99.68;684.43;254.8;18.95;958.18;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C482;2886;1;7431.844017;6869.0615561;99.75;1232.97;475.2;17.11;1725.28;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C501;2893;1;4776.921708;4641.6036599;99.38;588.19;58.2;14.27;660.66;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C511;2897;1;8748.318048;8461.3935192;99.12;1260.65;134.4;14.84;1409.89;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C611;2948;1;6772.049973;6589.5310097;98.48;1469.02;18.4;14.5;1501.92;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08C613;2950;2;37458.637164;34420.59672;99.16;5539.88;2444.4;18.98;8003.26;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08K02J;3028;1;1411.478952;1277.8076741;91.81;236.84;0;9;245.84;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08M071;3050;1;1623.956529;1389.9002647;87.54;648.65;19.8;1.96;670.41;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08M142;3069;1;4487.367261;3925.6197614;93.52;1454.96;241.2;0.39;1696.55;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08M151;3073;1;1480.537422;1243.1842101;88.8;442.28;61.6;0.73;504.61;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08M151;5532;1;357.129513;304.47220155;89.04;215.51;11.2;0.09;226.8;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08M15T;3167;1;663.312117;596.94205595;90.75;228.34;0;0.8;229.14;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08M192;3082;1;4047.244587;3649.6977314;93.2;1247.77;95.2;0.73;1343.7;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08M19T;5534;1;392.189184;342.39652304;91.07;200.04;12.2;0.07;212.31;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08M211;3089;3;4162.595428;3667.0111311;89.096666667;931.32;0;15.63;946.95;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08M211;5536;1;503.575566;430.09350228;86.08;199.52;0;0.35;199.87;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08M221;5537;1;454.800473;387.06759757;85.82;191.01;0;0.51;191.52;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08M291;3125;1;1879.803627;1637.2207159;89.01;673.38;24;0.28;697.66;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08M323;3141;1;6654.309792;6047.3225181;97.45;1911.52;391.6;0.31;2303.43;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08M331;3144;1;855.773763;737.44622525;89.44;359.82;19.2;3.4;382.42;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08M33T;5548;1;460.747287;408.61294821;89.31;0;0;0;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";08M35Z;3152;1;747.675708;562.15267026;95.36;228.86;145.8;0.04;374.7;2023.7;X590780193;31AUG23;11:45:29
