"champ";"statut";"annee";"periode";"date du resultat";"ipe";mode;ponder;pct_ponder;ponder_cn;dms;age_moy;age_med;pct_homme;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";72;2;1.0416666667;2;25.5;81.5;81.5;100;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";73;2;1.0416666667;2;12.5;63.5;63.5;50;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";74;1;0.5208333333;1;5;51;51;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";8;136;70.833333333;136;11.580882353;70.862872683;79;42.647058824;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";9;23;11.979166667;23;14.130434783;80.130434783;83;60.869565217;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";62;16;4.4568245125;16;27.8125;85;86.5;6.25;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";63;1;0.278551532;1;9;90;90;100;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";71;24;6.6852367688;24;6.75;62.666666667;68.5;45.833333333;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";72;24;6.6852367688;24;26.375;79.875;82;29.166666667;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";74;2;0.5571030641;2;3.5;36;36;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";76;3;0.8356545961;3;20.333333333;62;65;33.333333333;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";8;236;65.73816156;236;7.2542372881;57.034571628;66;40.254237288;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";87;21;5.8495821727;21;9.9047619048;87.095238095;90;42.857142857;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";9;32;8.9136490251;32;13.28125;80.21875;80.5;56.25;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";62;6;4.0268456376;6;18.166666667;83.166666667;84;50;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";71;4;2.6845637584;4;41.25;67.75;75.5;75;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";72;12;8.0536912752;12;25;80.25;83;66.666666667;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";8;115;77.181208054;115;8.8260869565;73.104347826;76;54.782608696;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";87;4;2.6845637584;4;17.5;92.25;93;50;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";9;8;5.3691275168;8;15.625;80.25;82.5;75;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:42:55";="020000287";62;22;21.359223301;22;14;86.045454545;87;59.090909091;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:55";="020000287";71;11;10.67961165;11;7.9090909091;69.727272727;74;54.545454545;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:55";="020000287";72;3;2.9126213592;3;17;86.666666667;84;33.333333333;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:55";="020000287";8;65;63.106796117;65;7.6;77;82;49.230769231;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:55";="020000287";9;2;1.9417475728;2;27.5;73.5;73.5;50;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:32:57";="590797353";62;1;0.6369426752;1;9;97;97;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:57";="590797353";71;3;1.9108280255;3;12.333333333;66;88;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:57";="590797353";72;2;1.2738853503;2;34;68.5;68.5;50;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:57";="590797353";73;1;0.6369426752;1;29;96;96;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:57";="590797353";8;137;87.261146497;137;10.890510949;62.690430957;74;38.686131387;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:57";="590797353";87;6;3.821656051;6;16.333333333;86.333333333;88;33.333333333;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:57";="590797353";9;7;4.4585987261;7;19.142857143;82.285714286;86;57.142857143;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:40";="590782421";71;22;5.641025641;22;23.227272727;65.636363636;71.5;68.181818182;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:40";="590782421";72;60;15.384615385;60;23.983333333;81.3;85;30;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:40";="590782421";73;3;0.7692307692;3;10.666666667;78;79;66.666666667;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:40";="590782421";76;4;1.0256410256;4;12;76.75;73.5;50;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:40";="590782421";8;270;69.230769231;270;8.737037037;64.967478437;73;52.592592593;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:40";="590782421";87;4;1.0256410256;4;12.5;74;75;25;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:40";="590782421";9;27;6.9230769231;27;14.111111111;83.111111111;87;74.074074074;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:11:55";="800000051";63;1;7.1428571429;1;29;79;79;100;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:55";="800000051";71;1;7.1428571429;1;7;64;64;100;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:55";="800000051";72;2;14.285714286;2;14.5;81;81;50;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:55";="800000051";8;9;64.285714286;9;9.5555555556;83.333333333;83;33.333333333;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:55";="800000051";87;1;7.1428571429;1;8;74;74;0;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:16";="800000135";62;1;50;1;28;80;80;0;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:16";="800000135";87;1;50;1;50;77;77;100;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:27";="590782165";62;18;8.4112149533;18;29.444444444;80.222222222;83;44.444444444;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:27";="590782165";71;6;2.8037383178;6;5.5;70.333333333;69.5;50;2023.7;X590782165;30AUG23;14:10:49
