"champ";"statut";"annee";"periode";"date du resultat";"ipe";code_aff;mnt_tot;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9225114;19.6;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9229551;2.34;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9230196;1.24;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9231586;4.24;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9232290;18.42;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9232539;64.31;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9234403;2.42;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9234521;41.44;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9237519;36.05;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9237525;70.17;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9237531;99.61;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9242532;4.16;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9243000;58.17;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9244583;2.95;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9245364;124.96;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9246435;9.37;2023.7;X620100057;22AUG23;9:33:11
