"champ";"statut";"annee";"periode";"date du resultat";"ipe";tum1;eff;nbchir;chirurg0;nbmutrf;nbdom;nbdc;nb0j;nbj;agem;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 09:24:16";="020000055";tot;262;0;0;139;101;22;1;2735;78.08778626;2;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";CA;1801;1575;1575;3;1798;0;1801;0;62.001665741;1;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";HP;1974;0;0;0;1974;0;747;1227;58.45035461;1;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";UHCD;1852;0;0;594;1250;8;1275;577;54.740606231;1;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";ZAUM;2962;473;226;348;2521;93;313;14743;48.448683322;1;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";tot;8589;2048;1801;945;7543;101;4136;16547;54.945931161;1;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";CA;1789;1563;1563;3;1786;0;1789;0;62.19843488;2;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";HP;760;0;0;0;760;0;609;151;51.477631579;2;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";UHCD;1852;0;0;594;1250;8;1275;577;54.740606231;2;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";ZAUM;1839;331;150;299;1448;92;288;10457;67.760739532;2;2023.7;X590782652;29AUG23;9:28:13
