"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;ghs;eff;nbj;nb0j;mnt_ghs_am;mnt_exinf_am;mnt_ghs50_am;mnt_exh_am;mnt_9615_am;mnt_rdth_am;mnt_rea_am;mnt_rep_am;mnt_si_am;mnt_sc_am;mnt_suppdia_am;mnt_nn1_am;mnt_nn2_am;mnt_nn3_am;mnt_caisson_am;mnt_ant_am;mnt_rap_am;mnt_fjs_ame;mnt_tjp20_ame;mnt_sdc_am;mnt_ctc_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";06C142;1979;2;24;0;5969.2497696;0;0;570.7817856;0;0;0;0;0;0;0;0;0;0;0;0;0;40;6678.984;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";06C252;2021;1;4;0;3075.8013504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1153.672;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";06K02Z;2119;1;1;0;749.4770552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;222.534;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";06M18T;2201;1;1;0;568.4484312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;227.726;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";06M18Z;2189;1;2;0;1777.1500656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;455.452;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";07C14J;2355;1;0;1;2116.1840544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;252.542;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";08C492;2890;1;13;0;5821.2701976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3796.694;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";09M051;3530;1;5;0;1492.665252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1138.63;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";11M031;4288;1;4;0;1395.60252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;910.904;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";13K02Z;5205;1;0;1;1046.7349888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246.784;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";13M052;5221;1;15;0;2311.9532904;0;0;1489.257432;0;0;0;0;0;0;0;0;0;0;0;0;0;20;4427.19;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";14C07A;5322;1;8;0;3588.8915088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2039.536;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";14C08A;5326;2;6;0;5050.5251584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;1494.768;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";14Z14A;5495;7;22;0;13515.607933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;5573.84;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";15M02Z;5900;1;1;0;444.8014912;0;0;0;0;0;0;0;0;0;0;0;405.5505312;0;0;0;0;0;373.814;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";15M05C;5905;1;7;0;2357.9093024;0;0;0;0;0;0;0;0;0;0;1351.915208;811.1010624;0;0;0;0;0;1755.658;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";16M111;6182;2;4;0;3648.051264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;1180.584;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";18M041;6772;1;2;0;1482.7785648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;509.884;0;0;2023.7;X020000261;29AUG23;14:50:19
