"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;dp;eff_sej;eff_mon;dep;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ROACTEMRA;M31;5;10;4031.95;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ROACTEMRA;E66;1;2;1075.18;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ROACTEMRA;Z51;1;2;645.11;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";RUXIENCE;M05;2;2;261.48;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";STELARA;K50;12;37;75556.96;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";STELARA;K51;5;17;34715.36;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ZESSLY;K50;112;667;42598.86;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ZESSLY;K51;87;508;32099.88;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ZESSLY;M45;29;161;10183.26;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ZESSLY;M05;16;47;2962.02;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ZESSLY;M07;4;20;1279.2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ZESSLY;Z51;2;8;490.08;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ZESSLY;Z50;1;6;389.16;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";AMBISOME;A41;1;170;20855.6;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";AYBINTIO;C18;85;92.17;14491.692;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";AYBINTIO;C22;24;72.63;11419.607;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";AYBINTIO;C56;27;71.55;11249.798;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";AYBINTIO;C78;54;59.89;9416.411;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";AYBINTIO;C20;32;30.29;4762.41;2023.7;X620101337;25AUG23;12:05:23
