"champ";"statut";"annee";"periode";"date du resultat";"ipe";racine;ghm;ghs;majo;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";09C22;09C22J;3595;***;8;33.333333333;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";13C12;13C12J;4968;;44;70.967741935;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";13C12;13C12J;4987;***;18;29.032258065;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";13C16;13C16J;4982;;166;100;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";19C02;19C023;7003;;1;100;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";20Z04;20Z041;5796;;4;16.666666667;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";20Z04;20Z041;7267;;4;16.666666667;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";20Z04;20Z042;7268;;9;37.5;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";20Z04;20Z043;7269;;3;12.5;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";20Z04;20Z044;7270;;4;16.666666667;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";23Z02;23Z02Z;7994;***;115;100;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:38";="800000077";04M03;04M031;1134;;1;33.333333333;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:38";="800000077";04M03;04M033;1136;;2;66.666666667;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:38";="800000077";20Z04;20Z041;7267;;73;62.931034483;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:38";="800000077";20Z04;20Z041;7281;***;28;24.137931034;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:38";="800000077";20Z04;20Z042;7268;;10;8.6206896552;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:38";="800000077";20Z04;20Z042;7282;***;5;4.3103448276;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:38";="800000077";23Z02;23Z02Z;7992;;4;50;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:38";="800000077";23Z02;23Z02Z;7993;***;4;50;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:09:51";="590782645";23Z02;23Z02Z;7993;***;29;100;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:17";="600100572";04M03;04M033;1136;;1;100;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:17";="600100572";20Z04;20Z041;7267;;1;25;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:17";="600100572";20Z04;20Z043;7269;;3;75;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:17";="600100572";23Z02;23Z02Z;7992;;11;52.380952381;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:17";="600100572";23Z02;23Z02Z;7993;***;10;47.619047619;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:23";="020004495";04M03;04M031;1134;;1;14.285714286;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:23";="020004495";04M03;04M032;1135;;2;28.571428571;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:23";="020004495";04M03;04M033;1136;;3;42.857142857;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:23";="020004495";04M03;04M034;1137;;1;14.285714286;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:23";="020004495";20Z04;20Z041;7267;;4;16;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:23";="020004495";20Z04;20Z041;7281;***;2;8;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:23";="020004495";20Z04;20Z042;7268;;3;12;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:23";="020004495";20Z04;20Z042;7282;***;13;52;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:23";="020004495";20Z04;20Z043;7283;***;3;12;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:23";="020004495";23Z02;23Z02Z;7993;***;35;100;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:18";="020000055";04M03;04M032;1135;;1;100;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:18";="020000055";20Z04;20Z041;7267;;3;50;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:18";="020000055";20Z04;20Z042;7268;;1;16.666666667;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:18";="020000055";20Z04;20Z043;7269;;2;33.333333333;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:18";="020000055";23Z02;23Z02Z;7993;***;28;100;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";04M03;04M031;1134;;2;25;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";04M03;04M032;1135;;1;12.5;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";04M03;04M033;1136;;5;62.5;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";06C19;06C19J;1995;;18;100;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";08C62;08C623;2954;;1;50;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";08C62;08C624;2955;;1;50;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";09C19;09C191;3431;;3;100;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";09C20;09C201;3441;;18;78.260869565;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";09C20;09C202;3442;;1;4.347826087;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";09C20;09C20J;3440;;4;17.391304348;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";09C22;09C22J;3460;;6;100;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";13C12;13C12J;4968;;69;75;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";13C12;13C12J;4987;***;23;25;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";20Z02;20Z022;7259;;1;100;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";20Z04;20Z041;7267;;20;17.094017094;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";20Z04;20Z041;7281;***;34;29.05982906;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";20Z04;20Z042;7268;;16;13.675213675;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";20Z04;20Z042;7282;***;40;34.188034188;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";20Z04;20Z043;7269;;3;2.5641025641;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";20Z04;20Z043;7283;***;3;2.5641025641;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";20Z04;20Z044;7270;;1;0.8547008547;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:23";="590782652";23Z02;23Z02Z;7993;***;40;100;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:38";="590780052";04M03;04M033;1136;;2;100;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:38";="590780052";20Z04;20Z041;7267;;16;10.256410256;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:38";="590780052";20Z04;20Z041;7281;***;57;36.538461538;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:38";="590780052";20Z04;20Z042;7268;;28;17.948717949;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:38";="590780052";20Z04;20Z042;7282;***;54;34.615384615;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:38";="590780052";20Z04;20Z043;7283;***;1;0.641025641;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:22";="600100648";04M03;04M031;1134;;2;40;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:22";="600100648";04M03;04M033;1136;;1;20;2023.7;X600100648;29AUG23;10:19:13
