"champ";"statut";"annee";"periode";"date du resultat";"ipe";racine;ghm;ghs;majo_;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";06M18;06M18T;2201;Plein;5;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";07M02;07M02T;2518;Plein;6;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";07M04;07M04T;2523;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";07M10;07M10T;2548;Plein;2;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";08M15;08M15T;3167;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";08M19;08M19T;3169;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";08M22;08M221;3093;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";08M28;08M28T;3124;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";08M29;08M29T;3170;Plein;4;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";08M36;08M36T;3153;Plein;3;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";09M03;09M03T;3524;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";09M05;09M05T;3534;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";09M09;09M09T;3554;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";09M12;09M12Z;3581;Intermédiaire;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";10M16;10M16T;3961;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";11M02;11M02T;4342;Plein;9;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";11M04;11M04T;4297;Plein;3;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";11M12;11M12T;4343;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";11M18;11M18Z;4340;Plein;2;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";12M07;12M07T;4782;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";16M11;16M11T;6186;Plein;2;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";17M14;17M14Z;6522;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";19M02;19M02T;7068;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";19M06;19M06T;7073;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";19M21;19M21Z;7133;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";21M10;21M10T;7616;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";23M10;23M10T;7978;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";23M19;23M19Z;7988;Plein;11;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";23M20;23M20T;7917;Intermédiaire;1;6.25;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";23M20;23M20T;7989;Plein;15;93.75;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/24 14:38:11";="020000253";01M07;01M07T;217;Plein;3;100;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:11";="020000253";01M08;01M08T;222;Plein;6;85.714285714;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:11";="020000253";01M08;01M08T;5091;UHCD;1;14.285714286;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:11";="020000253";01M09;01M09T;227;Plein;4;100;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:11";="020000253";01M11;01M11T;237;Plein;18;64.285714286;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:11";="020000253";01M11;01M11T;5094;UHCD;10;35.714285714;2023.7;X020000253;24AUG23;14:38:01
