"champ";"statut";"annee";"periode";"date du resultat";"ipe";type;nb;mnt_br_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 14:11:46";="020000287";03;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:46";="020000287";04;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:46";="020000287";05;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:46";="020000287";06;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:46";="020000287";07;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:46";="020000287";08;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:46";="020000287";09;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:46";="020000287";10;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:46";="020000287";11;1;132.49;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:46";="020000287";12;2;16.98;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:46";="020000287";13;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:46";="020000287";14;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:46";="020000287";15;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:46";="020000287";16;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:48:10";="800000077";01;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:10";="800000077";02;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:10";="800000077";03;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:10";="800000077";04;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:10";="800000077";05;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:10";="800000077";06;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:10";="800000077";07;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:10";="800000077";08;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:10";="800000077";09;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:10";="800000077";10;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:10";="800000077";11;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:10";="800000077";12;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:10";="800000077";13;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:10";="800000077";14;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:10";="800000077";15;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:10";="800000077";16;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 15:06:49";="590785374";01;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:49";="590785374";02;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:49";="590785374";03;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:49";="590785374";04;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:49";="590785374";05;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:49";="590785374";06;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:49";="590785374";07;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:49";="590785374";08;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:49";="590785374";09;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:49";="590785374";10;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:49";="590785374";11;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:49";="590785374";12;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:49";="590785374";13;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:49";="590785374";14;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:49";="590785374";15;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:49";="590785374";16;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:50";="590782645";01;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:50";="590782645";02;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:50";="590782645";03;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:50";="590782645";04;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:50";="590782645";05;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:50";="590782645";06;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:50";="590782645";07;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:50";="590782645";08;0;0;2023.7;X590782645;28AUG23;12:09:43
