"champ";"statut";"annee";"periode";"date du resultat";"ipe";date_fin;finessg;um;typ_um;mode_hospit;dateeffet;nblits_g;nbsupth;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0011;53;P;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0026;53;P;01/01/2019;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0029;53;P;01/01/2019;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0030;53;C;01/01/2019;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0035;53;P;01/01/2019;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0037;53;P;01/01/2019;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0038;53;P;01/01/2019;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0045;53;M;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0047;53;P;01/01/2019;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0053;53;C;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0054;53;M;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0055;53;P;01/01/2019;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0056;53;C;01/01/2019;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0021;70;M;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0042;70;P;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0014;71;P;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0017;71;M;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0043;71;C;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0057;71;M;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0012;73;P;01/01/2019;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:47:27";="800000077";;800000275;0002;19;C;01/01/1900;8;1696;2;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:27";="800000077";;800000275;0004;19;C;01/01/1900;0;0;2;2023.7;X800000077;25AUG23;14:46:27
