"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;FPL;FPM;FPU;FPV;FPX;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/01 17:22:43";="600101984";FPX;0;0;2;0;0;2023.7;X600101984;01SEP23;17:22:22
"mco";"dgf";"2023";"7";"2023/09/04 11:00:17";="800000044";FPL;0;0;0;0;0;2023.7;X800000044;04SEP23;10:59:15
"mco";"dgf";"2023";"7";"2023/09/04 11:00:17";="800000044";FPM;0;0;0;0;0;2023.7;X800000044;04SEP23;10:59:15
"mco";"dgf";"2023";"7";"2023/09/04 11:00:17";="800000044";FPU;0;0;0;14;10;2023.7;X800000044;04SEP23;10:59:15
"mco";"dgf";"2023";"7";"2023/09/04 11:00:17";="800000044";FPV;0;0;14;0;7;2023.7;X800000044;04SEP23;10:59:15
"mco";"dgf";"2023";"7";"2023/09/04 11:00:17";="800000044";FPX;0;0;10;7;0;2023.7;X800000044;04SEP23;10:59:15
"mco";"dgf";"2023";"7";"2023/09/05 10:29:59";="590781803";FPL;0;0;2;0;0;2023.7;X590781803;05SEP23;10:29:44
"mco";"dgf";"2023";"7";"2023/09/05 10:29:59";="590781803";FPM;0;0;0;0;0;2023.7;X590781803;05SEP23;10:29:44
"mco";"dgf";"2023";"7";"2023/09/05 10:29:59";="590781803";FPU;2;0;0;12;18;2023.7;X590781803;05SEP23;10:29:44
"mco";"dgf";"2023";"7";"2023/09/05 10:29:59";="590781803";FPV;0;0;12;0;1;2023.7;X590781803;05SEP23;10:29:44
"mco";"dgf";"2023";"7";"2023/09/05 10:29:59";="590781803";FPX;0;0;18;1;0;2023.7;X590781803;05SEP23;10:29:44
"mco";"dgf";"2023";"7";"2023/09/07 20:06:58";="590781902";FPL;0;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:06:58";="590781902";FPM;0;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:06:58";="590781902";FPU;0;0;0;22;2;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:06:58";="590781902";FPV;0;0;22;0;2;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:06:58";="590781902";FPX;0;0;2;2;0;2023.7;X590781902;07SEP23;20:06:41
