"champ";"statut";"annee";"periode";"date du resultat";"ipe";titre;nb;periode;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 08:42:29";="020000287";Nombre  de journées standardisées;12829.368132;1;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:29";="020000287";Performance Globale;1.0600155442;1;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:32:26";="590797353";Nombre  de journées;16682;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:26";="590797353";Nombre  de journées standardisées;17620.045123;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:26";="590797353";Performance Globale;1.0562309749;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:26";="590797353";Nombre  de journées;39210;1;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:26";="590797353";Nombre  de journées standardisées;42015.061651;1;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:26";="590797353";Performance Globale;1.0715394453;1;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:06";="590782421";Nombre  de journées;28041;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:06";="590782421";Nombre  de journées standardisées;27363.401294;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:06";="590782421";Performance Globale;0.9758354301;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:06";="590782421";Nombre  de journées;68002;1;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:06";="590782421";Nombre  de journées standardisées;67074.977575;1;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:06";="590782421";Performance Globale;0.9863677182;1;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:11:28";="800000051";Nombre  de journées;1063;0;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:28";="800000051";Nombre  de journées standardisées;1071.5081814;0;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:28";="800000051";Performance Globale;1.0080039336;0;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:28";="800000051";Nombre  de journées;2430;1;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:28";="800000051";Nombre  de journées standardisées;2760.2074537;1;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:28";="800000051";Performance Globale;1.135887841;1;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:41:56";="800000135";Nombre  de journées;859;0;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:41:56";="800000135";Nombre  de journées standardisées;664.01246197;0;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:41:56";="800000135";Performance Globale;0.7730063585;0;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:41:56";="800000135";Nombre  de journées;2708;1;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:41:56";="800000135";Nombre  de journées standardisées;1803.365892;1;2023.7;X800000135;30AUG23;13:41:48
