"champ";"statut";"annee";"periode";"date du resultat";"ipe";let_ghm;adnp_11;adnp_10;adnp_21;adnp_20;adnp_v1;adnp_v0;adnp_x1;adnp_x0;Total_Dans;Total_Hors;Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 10:37:34";="590781415";K;4;0;118;0;29;2;0;0;151;2;153;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:34";="590781415";M;24;0;250;0;117;126;0;0;391;126;517;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:34";="590781415";Z;0;17;0;121;0;3798;0;0;0;3936;3936;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:39";="620103440";C;0;0;583;0;0;9;0;0;583;9;592;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:39";="620103440";K;3;0;127;0;0;18;0;0;130;18;148;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:39";="620103440";M;1;0;365;0;0;315;0;0;366;315;681;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:39";="620103440";Z;0;0;2;0;0;9910;0;0;2;9910;9912;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:13:34";="800000085";M;1;0;15;36;0;24;0;0;16;60;76;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:34";="800000085";Z;0;0;0;50;0;44;0;0;0;94;94;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:47:06";="590780193";C;0;0;1;0;659;66;0;0;660;66;726;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:47:06";="590780193";K;0;0;0;0;872;187;0;0;872;187;1059;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:47:06";="590780193";M;0;0;1;0;2475;731;0;0;2476;731;3207;2023.7;X590780193;31AUG23;11:45:29
