"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;PU;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 09:49:35";="590782652";SE1;81.41;23;1861.757149;1635.1084526;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:35";="590782652";SE1;85.78;84;7171.654056;6420.3379168;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:35";="590782652";SE2;65.14;477;30894.670854;29651.111776;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:35";="590782652";SE2;68.64;1257;85874.961744;82609.390406;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:35";="590782652";SE3;43.41;7;302.137941;284.8729158;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:35";="590782652";SE3;45.74;6;273.150132;227.62511;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:35";="590782652";SE4;21.7;61;1316.15491;1238.480194;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:35";="590782652";SE4;22.87;180;4097.25198;3778.576826;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 11:59:22";="020000261";SE1;81.41;188;15217.841044;13307.516317;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:22";="020000261";SE1;85.78;488;41663.894992;36285.15445;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:22";="020000261";SE2;65.14;81;5246.264862;4689.2540248;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:22";="020000261";SE2;68.64;251;17147.665392;15562.701898;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:22";="020000261";SE3;43.41;24;1035.901512;966.8414112;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:22";="020000261";SE3;45.74;34;1547.850748;1465.9057084;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:22";="020000261";SE4;21.7;16;345.22096;310.698864;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:22";="020000261";SE4;22.87;45;1024.312995;937.8154532;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:22";="020000261";SE5;142.69;6;851.260002;766.1340018;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:22";="020000261";SE5;150.36;3;448.959924;448.959924;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:22";="020000261";SE6;293.96;3;876.853284;759.9395128;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:22";="020000261";SE6;309.75;3;924.882525;801.564855;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:22";="020000261";SE7;116.96;14;1629.744032;1490.0516864;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 13:08:37";="620000026";SE1;81.41;15;1185.126075;1090.315989;12;948.10086;869.092455;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:37";="620000026";SE1;85.78;17;1412.033158;1362.1966936;16;1328.972384;1279.1359196;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:37";="620000026";SE2;65.14;45;2844.82665;2604.596844;36;2275.86132;2073.562536;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:37";="620000026";SE2;68.64;122;8108.621664;7643.37288;103;6845.803536;6433.7260416;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:37";="620000026";SE3;43.41;4;168.51762;143.239977;4;168.51762;143.239977;2023.7;X620000026;29AUG23;13:08:26
