"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;dstot0;dstot1;dstot2;dstots2;duree;pct0;pct1;pct2;pcts2;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 15:19:15";="590052056";06C041;1;0;2;3;6;16.666666667;0;33.333333333;50;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:15";="590052056";06C151;1;0;0;2;3;33.333333333;0;0;66.666666667;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:15";="590052056";07C101;1;4;4;1;10;10;40;40;10;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:15";="590052056";08C241;2;2;4;5;13;15.384615385;15.384615385;30.769230769;38.461538462;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:15";="590052056";08C331;5;0;0;0;5;100;0;0;0;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:15";="590052056";08C481;1;8;2;3;14;7.1428571429;57.142857143;14.285714286;21.428571429;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:15";="590052056";08C611;1;0;0;0;1;100;0;0;0;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:15";="590052056";12C051;2;1;0;0;3;66.666666667;33.333333333;0;0;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/31 10:37:15";="590781415";06C091;1;2;22;16;41;2.4390243902;4.8780487805;53.658536585;39.024390244;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:15";="590781415";07C131;3;3;6;5;17;17.647058824;17.647058824;35.294117647;29.411764706;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:15";="590781415";08C271;1;26;16;3;46;2.1739130435;56.52173913;34.782608696;6.5217391304;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:15";="590781415";08C311;2;1;1;1;5;40;20;20;20;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:15";="590781415";08C331;6;3;0;0;9;66.666666667;33.333333333;0;0;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:15";="590781415";08C491;1;0;1;12;14;7.1428571429;0;7.1428571429;85.714285714;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:15";="590781415";08C501;1;0;0;0;1;100;0;0;0;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:15";="590781415";08C531;3;2;2;4;11;27.272727273;18.181818182;18.181818182;36.363636364;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:15";="590781415";08C551;1;0;0;1;2;50;0;0;50;2023.7;X590781415;31AUG23;10:37:00
