"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;mnt;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 08:43:32";="020000287";Séjours valorisés;5472;11604077.681;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:32";="020000287";Dont séjours en hospitalisation complète;3262;9893744.1074;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:32";="020000287";Dont séjours sans nuitée;1131;1234744.4046;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:32";="020000287";Dont séjours séances;1079;475589.16862;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:33:58";="590797353";Séjours valorisés;29730;46174775.936;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:58";="590797353";Dont séjours en hospitalisation complète;10886;33135916.761;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:58";="590797353";Dont séjours sans nuitée;12735;10270428.4;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:58";="590797353";Dont séjours séances;6109;2768430.7745;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:40";="590782421";Séjours valorisés;41686;76842285.894;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:40";="590782421";Dont séjours en hospitalisation complète;16588;61547313.741;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:40";="590782421";Dont séjours sans nuitée;10375;9273494.3085;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:40";="590782421";Dont séjours séances;14723;6021477.845;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:12:36";="800000051";Séjours valorisés;535;1686278.2827;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:36";="800000051";Dont séjours en hospitalisation complète;359;1574313.954;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:36";="800000051";Dont séjours sans nuitée;138;91958.993027;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:36";="800000051";Dont séjours séances;38;20005.335613;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:47";="800000135";Séjours valorisés;189;1449771.0691;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:47";="800000135";Dont séjours en hospitalisation complète;189;1449771.0691;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:47";="800000135";Dont séjours sans nuitée;0;0;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:47";="800000135";Dont séjours séances;0;0;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:12:12";="590782165";Séjours valorisés;11341;24348693.546;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:12";="590782165";Dont séjours en hospitalisation complète;5593;19856262.889;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:12";="590782165";Dont séjours sans nuitée;4176;3780107.9017;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:12";="590782165";Dont séjours séances;1572;712322.75524;2023.7;X590782165;30AUG23;14:10:49
