"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;dmt;PU;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 21:29:32";="590000188";FTR;750;550;1388.45;763647.5;763647.28;1387.45;763097.5;763097.28;2023.7;X590000188;30AUG23;21:29:16
"mco";"dgf";"2023";"7";"2023/08/31 09:35:24";="590783239";FTN;035;68.88;2567.65;176859.732;176859.33938;2543.2;175175.616;175175.22338;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:35:24";="590783239";FTN;035;93.03;1866.5;173640.495;173640.4857;50.5;4698.015;4698.015;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:35:24";="590783239";FTN;753;166.05;3;498.15;498.15;0;0;0;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:35:24";="590783239";FTN;753;195.91;4;783.64;783.64;4;783.64;783.64;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:35:24";="590783239";FTR;035;55.66;430.1;23939.366;23939.366;7.15;397.969;397.969;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:40";="590782215";FTG;;550;7;3850;3850;7;3850;3850;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:40";="590782215";FTG;;1000;933;933000;933000;933;933000;933000;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:40";="590782215";FTN;;13.95;6.6;92.07;92.07;0;0;0;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:40";="590782215";FTN;;32.25;1;32.25;32.25;1;32.25;32.25;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:40";="590782215";FTN;;64.5;1;64.5;64.5;1;64.5;64.5;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:40";="590782215";FTN;;93.03;6055.35;563329.2105;563328.42905;4357.35;405364.2705;405363.55417;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:40";="590782215";FTN;;166.05;5815;965580.75;965579.48802;5347;887869.35;887868.08802;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:40";="590782215";FTN;;195.91;2210;432961.1;432961.1;2209;432765.19;432765.19;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:40";="590782215";FTR;;8.35;2.25;18.7875;18.7875;0;0;0;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:40";="590782215";FTR;;55.66;663;36902.58;36902.58;38;2115.08;2115.08;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:40";="590782215";FTR;;70.1;1;70.1;70.1;0;0;0;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:40";="590782215";FTR;;550;1552;853600;853600;1552;853600;853600;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 10:50:14";="590781415";FTN;035;93.03;4694.7;436747.941;436746.78743;3157.2;293714.316;293713.19173;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:14";="590781415";FTN;753;166.05;2119;351859.95;351858.05703;1925;319646.25;319644.35703;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:14";="590781415";FTN;753;195.91;2841;556580.31;556579.19331;2784;545413.44;545412.32331;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:14";="590781415";FTR;035;41.88;46.85;1962.078;1962.078;4.15;173.802;173.802;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:14";="590781415";FTR;035;55.66;1089.25;60627.655;60627.655;79.6;4430.536;4430.536;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 12:34:15";="020004404";FTN;035;93.03;2975.5;276810.765;276810.765;2429.85;226048.9455;226048.9455;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 12:34:15";="020004404";FTN;753;120.51;3167;381655.17;381655.17;3167;381655.17;381655.17;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 12:34:15";="020004404";FTN;753;166.05;2919;484699.95;484698.68802;2908;482873.4;482872.13802;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 12:34:15";="020004404";FTR;035;55.66;733.15;40807.129;40807.129;614.1;34180.806;34180.806;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 14:50:08";="800000093";FTN;035;93.03;3982.45;370487.3235;370487.3235;3514.2;326926.026;326926.026;2023.7;X800000093;31AUG23;14:49:52
"mco";"dgf";"2023";"7";"2023/08/31 14:50:08";="800000093";FTR;035;55.66;3;166.98;166.98;3;166.98;166.98;2023.7;X800000093;31AUG23;14:49:52
"mco";"dgf";"2023";"7";"2023/09/01 10:58:28";="800000085";FTN;035;93.03;3911.65;363900.7995;363844.9815;3459.25;321814.0275;321758.2095;2023.7;X800000085;01SEP23;10:58:10
"mco";"dgf";"2023";"7";"2023/09/01 13:04:28";="590782637";FTN;035;93.03;2918.6;271517.358;271517.358;2384.55;221834.6865;221834.6865;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:04:28";="590782637";FTN;753;166.05;2367;393040.35;393040.35;2360;391878;391878;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:04:28";="590782637";FTR;035;55.66;1375.45;76557.547;76557.547;1126.9;62723.254;62723.254;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:09:22";="620100057";FR2;035;47.74;329;15706.46;15706.46;4;190.96;190.96;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 13:09:22";="620100057";FTN;035;93.03;2713;252390.39;252389.74809;927;86238.81;86238.196002;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 13:09:22";="620100057";FTN;035;100.51;72.9;7327.179;7327.179;0;0;0;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 13:09:22";="620100057";FTN;753;166.05;8;1328.4;1328.4;2;332.1;332.1;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 13:09:22";="620100057";FTN;753;195.91;871;170637.61;170635.98395;784;153593.44;153591.83354;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 13:09:22";="620100057";FTR;035;55.66;1272;70799.52;70799.497736;166;9239.56;9239.537736;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 15:20:20";="800000028";FTN;035;93.03;2471;229877.13;229837.1271;1809.8;168365.694;168365.694;2023.7;X800000028;01SEP23;15:19:59
"mco";"dgf";"2023";"7";"2023/09/01 15:20:20";="800000028";FTN;753;93.03;31;2883.93;2883.93;8;744.24;744.24;2023.7;X800000028;01SEP23;15:19:59
