"champ";"statut";"annee";"periode";"date du resultat";"ipe";type;pbnb;nb_min;se;se_ssact;act;act_ssse;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 13:08:33";="620000026";SE7;0;0;0;0;0;0;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:23:04";="590065223";SE1;0;0;0;0;0;0;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:04";="590065223";SE2;0;0;0;0;0;0;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:04";="590065223";SE3;0;0;0;0;0;0;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:04";="590065223";SE4;0;0;0;0;0;0;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:04";="590065223";SE5;0;0;0;0;0;0;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:04";="590065223";SE6;0;0;0;0;0;0;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:04";="590065223";SE7;0;0;0;0;0;0;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 14:03:34";="590000600";SE1;0;0;228;0;228;0;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:34";="590000600";SE2;0;0;0;0;0;0;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:34";="590000600";SE3;0;0;0;0;0;0;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:34";="590000600";SE4;0;0;14;0;14;0;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:34";="590000600";SE5;0;0;0;0;0;0;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:34";="590000600";SE6;0;0;0;0;0;0;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:34";="590000600";SE7;0;0;0;0;0;0;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:32:40";="620003350";SE1;0;0;774;0;774;0;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:40";="620003350";SE2;0;0;0;0;0;0;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:40";="620003350";SE3;0;0;0;0;0;0;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:40";="620003350";SE4;0;0;0;0;0;0;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:40";="620003350";SE5;0;0;0;0;0;0;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:40";="620003350";SE6;0;0;0;0;0;0;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:40";="620003350";SE7;0;0;0;0;0;0;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:46:23";="590781670";SE1;0;0;38;0;38;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:23";="590781670";SE2;0;0;4;0;4;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:23";="590781670";SE3;0;0;0;0;0;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:23";="590781670";SE4;0;0;85;0;85;0;2023.7;X590781670;29AUG23;14:46:17
