"champ";"statut";"annee";"periode";"date du resultat";"ipe";modesh;COUNT;PERCENT;count2;percent2;evol;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 15:44:21";="020004495";72;24;1.1288805268;7;0.3493013972;223.18236796;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:21";="020004495";73;2;0.0940733772;;0;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:21";="020004495";74;121;5.6914393227;97;4.8403193613;17.583962914;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:21";="020004495";76;1;0.0470366886;;0;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:21";="020004495";8;1467;69.002822201;1360;67.864271457;1.6776880084;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:21";="020004495";9;69;3.2455315146;77;3.8423153693;-15.5318811;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:15";="020000055";62;118;45.038167939;85;59.440559441;-24.2299057;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:15";="020000055";71;14;5.3435114504;8;5.5944055944;-4.484732824;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:15";="020000055";72;2;0.7633587786;;0;;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:15";="020000055";73;4;1.5267175573;2;1.3986013986;9.1603053435;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:15";="020000055";74;1;0.3816793893;2;1.3986013986;-72.70992366;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:15";="020000055";8;101;38.549618321;36;25.174825175;53.127650551;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:15";="020000055";9;22;8.3969465649;10;6.993006993;20.076335878;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:20";="590782652";62;125;1.4553498661;138;1.7334505715;-16.04318635;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:20";="590782652";71;657;7.6493188963;536;6.7328225097;13.612365174;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:20";="590782652";72;32;0.3725695657;24;0.3014696646;23.584429697;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:20";="590782652";73;10;0.1164279893;5;0.0628061801;85.376644545;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:20";="590782652";74;90;1.0478519036;81;1.0174601181;2.9870247474;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:20";="590782652";76;31;0.3609267668;32;0.4019595528;-10.2081878;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:20";="590782652";8;7514;87.483991151;6970;87.551815099;-0.077467208;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:20";="590782652";87;29;0.3376411689;67;0.8416028137;-59.88117394;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:20";="590782652";9;101;1.1759226918;108;1.3566134908;-13.31925417;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:36";="590780052";62;37;2.8483448807;28;2.5044722719;13.730342021;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:36";="590780052";63;2;0.1539645881;2;0.1788908766;-13.93379523;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:36";="590780052";64;;0;3;0.2683363148;-100;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:36";="590780052";71;15;1.1547344111;11;0.9838998211;17.363006509;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:36";="590780052";72;23;1.7705927637;13;1.1627906977;52.270977675;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:36";="590780052";74;1;0.0769822941;;0;;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:36";="590780052";8;1192;91.762894534;1025;91.68157424;0.0886986237;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:36";="590780052";87;19;1.4626635874;19;1.6994633274;-13.93379523;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:36";="590780052";9;10;0.7698229407;17;1.5205724508;-49.37282072;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";62;66;1.9147084421;97;2.7377928309;-30.06379371;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";71;373;10.821003771;430;12.136607395;-10.83996195;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";72;103;2.9881055991;7;0.1975726785;1412.4083054;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";73;2;0.0580214679;;0;;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";74;81;2.3498694517;59;1.6652554332;41.111651989;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";76;3;0.0870322019;1;0.0282246684;208.35509138;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";8;2737;79.40237888;2866;80.89189952;-1.841371817;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";87;3;0.0870322019;;0;;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";9;79;2.2918479838;83;2.3426474739;-2.168464983;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";62;440;6.1607392887;516;7.9728059333;-22.72809171;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";71;40;0.5600672081;52;0.803461063;-30.29317364;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";72;669;9.3671240549;627;9.6878862794;-3.310961909;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";73;2;0.0280033604;1;0.0154511743;81.23774853;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";74;;0;1;0.0154511743;-100;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";76;;0;3;0.0463535229;-100;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";8;5960;83.450014002;5242;80.995055624;3.0309978289;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";87;24;0.3360403248;20;0.3090234858;8.7426491179;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";9;7;0.0980117614;10;0.1545117429;-36.56678801;2023.7;X620000026;29AUG23;13:05:03
