"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;dep23;dep23_aut;nb23;ecart;dep23_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893287880;9328788;9328788;I000206;555.93;918.9;9;181.485;737.415;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893287880;9328788;9328788;I999999;469.66;816.8;8;173.57;643.23;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893318799;9331879;9331879;I000310;2419.2;2419.173;9;-0.027;2419.173;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893318850;9331885;9331885;I000310;31718.4;31717.987;59;-0.413;31717.987;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893318911;9331891;9331891;I000310;8171.52;8171.368;76;-0.152;8171.368;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893326206;9332620;9332620;I000076;1271.15;1384.528;2;56.689;1327.839;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893326206;9332620;9332620;I000077;2542.3;2769.056;4;113.378;2655.678;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893326206;9332620;9332620;I999999;9040.5;9691.696;14;325.598;9366.098;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893413692;9341369;9341369;I000120;2680.15;2680.125;15;-0.025;2680.125;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893923269;9392326;9392326;I000168;1378.35;1833.207;3;227.4285;1605.7785;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893951064;9395106;9395106;I000271;21033.27;21033.256;8;-0.016;21033.254;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894000372;9400037;9400037;I000163;3715.66;3555.852;3;-159.81;3555.85;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894000662;9400066;9400066;I000506;42296.8;42296.76;15;-0.04;42296.76;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894020592;9402059;9402059;I000103;8195.88;6966.45;6;-1229.43;6966.45;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894023036;9402303;9402303;I000197;1012.84;2159.472;16;573.316;1586.156;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894023036;9402303;9402303;I000287;11647.61;24833.928;184;6593.159;18240.769;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894023036;9402303;9402303;I000288;1392.65;2969.274;22;788.312;2180.962;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894023036;9402303;9402303;I000289;316.51;674.835;5;179.1625;495.6725;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894023036;9402303;9402303;I000290;379.81;809.802;6;214.996;594.806;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894023036;9402303;9402303;I000292;696.33;1484.637;11;394.1535;1090.4835;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894023036;9402303;9402303;I000293;3608.23;7693.119;57;2042.4445;5650.6745;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894073871;9407387;9407387;I000184;2444.28;2444.274;2;-0.006;2444.274;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894074014;9407401;9407401;I000184;1833.21;1833.206;1;-0.004;1833.206;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894074182;9407418;9407418;I000184;305.53;305.534;1;0.002;305.532;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894187875;9418787;9418787;I000293;261.63;404.901;3;71.6355;333.2655;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894197232;9419723;9419723;I000211;5294.09;5294.086;2;-0.004;5294.086;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894197232;9419723;9419723;I000392;26470.45;26470.43;10;-0.02;26470.43;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894199472;9419947;9419947;I000512;853.97;11107.392;136;5126.711;5980.681;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894250203;9425020;9425020;I000335;12667.16;12252.492;6;-414.668;12252.492;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894274674;9427467;9427467;I000233;209.04;1009.124;2;400.042;609.082;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894274674;9427467;9427467;I000234;836.16;4036.496;8;1600.168;2436.328;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894274674;9427467;9427467;I999999;209.04;1009.124;2;400.042;609.082;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894307365;9430736;9430736;I000595;2660.07;2660.072;4;0.001;2660.071;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894312628;9431262;9431262;I000590;27913.68;27699.472;8;-214.208;27699.472;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894312628;9431262;9431262;I999999;20774.64;20774.604;6;-0.036;20774.604;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894335511;9433551;9433551;I000574;1531.5;2908.011;3;688.2555;2219.7555;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894387268;9438726;9438726;I000574;1021;1934.836;4;456.918;1477.918;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894389798;9438979;9438979;I000267;62029.27;62029.425;25;0.0745;62029.3445;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894389798;9438979;9438979;I000419;4962.34;4962.354;2;0.007;4962.347;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894389798;9438979;9438979;I000612;7443.51;7443.531;3;0.0105;7443.5205;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894389798;9438979;9438979;I000616;14887.02;14887.062;6;0.021;14887.041;2023.7;X020000253;24AUG23;14:38:01
