"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nb22a;dep22a;dep22_vala;nb22b;dep22b;dep22_valb;nbt22a;nbt22b;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892197401;9219740;9219740;I000061;81;101406.185;101605.1125;81;101406.185;101605.1125;81;81;-1.45519E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892259246;9225924;9225924;I999999;58;9555.828;9574.572;58;9555.828;9574.572;58;58;1.818989E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892259307;9225930;9225930;I999999;87;28667.44;28723.694;87;28667.44;28723.694;87;87;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892318189;9231818;9231818;I999999;0;0;0;0;0;0;15;15;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892332086;9233208;9233208;I999999;38;84857.212;85028.81;38;84857.212;85028.81;47;47;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892340531;9234053;9234053;I000054;660;6712.299;17533.6095;660;6712.299;17533.6095;660;660;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892340531;9234053;9234053;I999999;60;610.209;1593.9645;60;610.209;1593.9645;60;60;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892350585;9235058;9235058;I000111;102;315942.348;313461.023;102;315942.348;313461.023;102;102;5.820766E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892388618;9238861;9238861;I999999;10;13888.685;13916.6375;10;13888.685;13916.6375;10;10;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892499079;9249907;9249907;I000009;82;47319.174;47394.774;82;47319.174;47394.774;82;82;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892554631;9255463;9255463;I999999;153;146306.677;146594.027;153;146306.677;146594.027;154;154;-2.91038E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892590820;9259082;9259082;I999999;323;274228.003;274767.5575;323;274228.003;274767.5575;375;375;-5.82077E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892680811;9268081;9268081;I999999;32;14875.822;15671.255;32;14875.822;15671.255;32;32;-1.81899E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892714561;9271456;9271456;I000227;5;1525.525;1528.5125;5;1525.525;1528.5125;5;5;0;2023.7;X590780193;05SEP23;14:08:27
