"champ";"statut";"annee";"periode";"date du resultat";"ipe";code1;COUNT;PERCENT;pcum;scum;count_atu;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";LHQN0020;142;0.3889878099;75.78687851;27666;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";BJQP0050;141;0.3862484591;76.173126969;27807;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";QZQM0010;140;0.3835091083;76.556636077;27947;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";GDQE0040;137;0.375291056;76.931927133;28084;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";JDLD0020;137;0.375291056;77.307218189;28221;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";LAQK0130;135;0.3698123545;77.677030544;28356;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ACQK0010;131;0.3588549514;78.035885495;28487;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ZCQJ0010;131;0.3588549514;78.394740447;28618;23;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";MFQK0020;130;0.3561156006;78.750856047;28748;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";NZQJ0010;127;0.3478975483;79.098753595;28875;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ACQN0010;122;0.3342007944;79.43295439;28997;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";QZFA0360;120;0.3287220929;79.761676483;29117;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ECQH0110;118;0.3232433913;80.084919874;29235;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";HZHE0020;116;0.3177646898;80.402684564;29351;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ZCQM0040;116;0.3177646898;80.720449254;29467;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";NZQK0020;115;0.315025339;81.035474593;29582;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";PBQM0030;115;0.315025339;81.350499932;29697;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ZZLJ0020;115;0.315025339;81.665525271;29812;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ZCQM0030;111;0.3040679359;81.969593206;29923;41;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";EBQM0010;109;0.2985892344;82.268182441;30032;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";EJQM0030;106;0.290371182;82.558553623;30138;2;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";HBGD0360;104;0.2848924805;82.843446103;30242;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";JGHJ0010;103;0.2821531297;83.125599233;30345;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";HLQM0020;101;0.2766744282;83.402273661;30446;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";LAQK0020;100;0.2739350774;83.676208739;30546;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";NAQK0150;100;0.2739350774;83.950143816;30646;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";LHLH0020;98;0.2684563758;84.218600192;30744;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";EBQM0020;93;0.254759622;84.473359814;30837;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";LHQN0010;93;0.254759622;84.728119436;30930;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";JKLD0010;91;0.2492809204;84.977400356;31021;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";KCQM0010;88;0.2410628681;85.218463224;31109;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";NFQK0020;88;0.2410628681;85.459526092;31197;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ZCQM0070;87;0.2383235173;85.69784961;31284;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";QZFA0020;84;0.230105465;85.927955075;31368;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";MZQK0020;83;0.2273661142;86.155321189;31451;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";QZHA0010;82;0.2246267635;86.379947952;31533;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";NZQK0010;81;0.2218874127;86.601835365;31614;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";LCQH0010;74;0.2027119573;86.804547322;31688;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";JQQM0030;73;0.1999726065;87.004519929;31761;1;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ZCQJ0020;73;0.1999726065;87.204492535;31834;43;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";NCQK0010;72;0.1972332557;87.401725791;31906;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";YYYY0760;70;0.1917545542;87.593480345;31976;0;2023.7;X590780227;10AUG23;13:22:39
