"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;adnp_1;adnp_2;adnp_v;adnp_x;adnp_Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/01 08:06:56";="020000071";nb_sea_crit3;0;0;0;0;;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:06:56";="020000071";nb_sea_crit4;0;0;0;0;;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:06:56";="020000071";nb_sea_crit5;0;0;0;0;;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:06:56";="020000071";nb_sea_dis;1;0;38;0;;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 12:15:57";="620100057";nb_sea_crit1;44;13;5694;0;5751;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:15:57";="620100057";nb_sea_crit2;1;2;363;0;366;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:15:57";="620100057";nb_sea_crit3;0;0;488;0;488;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:15:57";="620100057";nb_sea_crit4;3;28;10700;0;10731;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:15:57";="620100057";nb_sea_crit5;0;0;0;0;;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:15:57";="620100057";nb_sea_dis;48;41;15703;0;;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 13:08:11";="800000028";nb_sea_crit1;2;2;4662;0;4666;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:11";="800000028";nb_sea_crit2;0;0;131;0;131;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:11";="800000028";nb_sea_crit3;0;0;213;0;213;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:11";="800000028";nb_sea_crit4;0;0;3695;0;3695;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:11";="800000028";nb_sea_crit5;0;0;0;0;;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:11";="800000028";nb_sea_dis;2;2;7854;0;;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:03:01";="590783239";nb_sea_crit1;0;5099;0;0;5099;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:01";="590783239";nb_sea_crit2;1;215;0;0;216;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:01";="590783239";nb_sea_crit3;0;334;0;0;334;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:01";="590783239";nb_sea_crit4;0;9493;0;0;9493;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:01";="590783239";nb_sea_crit5;0;0;0;0;;2023.7;X590783239;01SEP23;14:02:13
