"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;COL1;COL2;COL3;COL4;COL5;COL6;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";nbrsaseance;1258;1107;13.640469738;868;791;9.7345132743;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";nbseances;1258;1107;13.640469738;868;791;9.7345132743;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";nbrsa0;8987;7533;19.301739015;6243;5442;14.718853363;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";nbjJT0;7143;5604;27.462526767;5005;4024;24.378727634;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";nbrsah0;2848;5432;-47.56995582;1436;3968;-63.81048387;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";nbjh0;10772;23729;-54.60407097;4711;17295;-72.76091356;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";nbuhcd;688;1058;-34.97164461;366;828;-55.79710145;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";nbabott;0;0;;0;0;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";per;1;2;3;1;2;3;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";nbrsa;17697;17691;0.0339155503;12633;12848;-1.673412204;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";cmd90;354;0;;354;0;;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";hper;0;0;;0;0;;2023.7;X620101337;25AUG23;12:05:23
