"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois_e;semaine_e;ponder;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee_e;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";1;;10;8.2;84.3;89.5;60;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";2;;6;6.8333333333;82.5;81.5;50;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";3;;5;6.4;80.4;79;0;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";4;;2;8;65;65;100;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";5;;1;22;74;74;0;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";6;;3;7.3333333333;90;89;33.333333333;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";7;;4;14.5;85.5;89;50;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";99;;34;8.9705882353;82.235294118;87;44.117647059;0;0;0;9999;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";12;;5;17.4;69.8;75;40;0;20;0;2022;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";1;;21;6.0476190476;60.666666667;61;19.047619048;0;4.7619047619;0;2023;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";2;;18;4.3333333333;61.5;67;27.777777778;0;0;0;2023;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";3;;34;5.8823529412;56.264705882;55.5;17.647058824;0;0;0;2023;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";4;;20;8.7;63.95;67.5;40;0;0;0;2023;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";5;;13;4.8461538462;56.153846154;55;7.6923076923;0;15.384615385;0;2023;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";6;;21;5.2380952381;67.714285714;73;23.80952381;0;0;0;2023;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";7;;12;4.5833333333;58.75;58;25;0;0;0;2023;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";99;;144;6.2083333333;60.965277778;64;23.611111111;0;2.7777777778;0;9999;2023.7;X020000261;29AUG23;14:50:19
