"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;classe_dist;nb;nb_valo;nb_nvalo;mnt_br;mnt_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 15:20:11";="590052056";TDE;03;2;1;1;282.9304301;280.94991709;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:11";="590052056";TDE;05;1;1;0;972.84340463;966.03350079;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:35:36";="590781795";TDE;01;16;16;0;1364.918964;1253.4881435;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:35:36";="590781795";TDE;02;6;6;0;902.082585;865.11326279;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:36";="620100677";TDE;01;15;15;0;1255.356594;1161.9708386;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:36";="620100677";TDE;02;13;13;0;1950.505165;1699.5717815;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:36";="620100677";TDE;03;11;11;0;3168.701834;2805.9884077;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:36";="620100677";TDE;05;3;3;0;3153.877272;2923.0134557;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:36";="620100677";TSE;06;66;61;5;10711.812262;10008.612251;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:36";="620100677";TSE;07;1;1;0;230.669481;183.24383571;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:38:45";="590781415";TDE;01;735;715;20;61153.319382;59473.550386;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:45";="590781415";TDE;02;58;54;4;8190.87111;7920.5434245;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:45";="590781415";TDE;03;119;112;7;31876.30978;29831.041724;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:45";="590781415";TSE;06;139;137;2;24343.964902;24139.687622;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:39:48";="620103440";TDE;01;398;396;2;33847.176276;30099.095431;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:48";="620103440";TDE;02;203;200;3;30406.01611;29427.394233;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:48";="620103440";TDE;03;94;94;0;26883.207648;25174.615867;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:48";="620103440";TDE;04;2;2;0;957.056178;855.32110628;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:48";="620103440";TSE;06;238;232;6;40769.35163;40198.184331;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:48";="620103440";TSE;07;2;2;0;473.967783;470.65000852;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:14:34";="800000085";TDE;01;24;24;0;2038.353354;1804.8463598;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:14:34";="800000085";TDE;02;146;144;2;21866.365575;19784.821436;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:14:34";="800000085";TDE;03;3;3;0;857.332612;793.57694957;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:51:24";="590780193";TDE;01;5579;5269;310;450901.25171;427975.50166;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:24";="590780193";TDE;02;1026;961;65;145962.18152;138630.19679;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:24";="590780193";TDE;03;633;505;128;144096.34583;139058.19929;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:24";="590780193";TDE;04;54;54;0;25343.735626;24791.1198;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:24";="590780193";TDE;05;3;3;0;3153.877272;3131.8001311;2023.7;X590780193;31AUG23;11:45:29
