"champ";"statut";"annee";"periode";"date du resultat";"ipe";typ9a;_NAME_;col1;ordre;colb1;colc1;cold1;cole1;colf1;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";1;entsor6;0;5;2;-100;0;1;-100;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";1;nbmulti;0;6;0;;0;0;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";2;eff;10;1;27;-62.96296296;4;18;-77.77777778;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";2;typA;0;2;0;;0;0;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";2;entsor7;3;4;1;200;2;1;100;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";2;entsor6;4;5;5;-20;2;1;100;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";2;nbmulti;0;6;0;;0;0;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";3;eff;321;1;249;28.915662651;234;181;29.281767956;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";3;typA;60;2;0;;52;0;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";3;entsor7;8;4;17;-52.94117647;6;12;-50;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";3;entsor6;4;5;1;300;3;0;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";3;nbmulti;0;6;0;;0;0;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";1;eff;15;1;11;36.363636364;10;6;66.666666667;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";1;typA;0;2;0;;0;0;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";1;entsor7;2;4;3;-33.33333333;2;3;-33.33333333;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";1;entsor6;0;5;0;;0;0;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";1;nbmulti;0;6;0;;0;0;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";3;eff;241;1;243;-0.823045267;171;179;-4.469273743;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";3;typA;0;2;0;;0;0;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";3;entsor7;28;4;33;-15.15151515;24;22;9.0909090909;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";3;entsor6;16;5;11;45.454545455;12;7;71.428571429;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";3;nbmulti;1;6;0;;1;0;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:20";="020004495";1;eff;1576;1;1397;12.813171081;1151;1070;7.5700934579;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:20";="020004495";1;typA;0;2;0;;0;0;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:20";="020004495";1;entsor7;5;4;0;;5;0;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:20";="020004495";1;entsor6;3;5;0;;3;0;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:20";="020004495";1;nbmulti;7;6;10;-30;4;7;-42.85714286;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:20";="020004495";3;eff;550;1;607;-9.390444811;345;431;-19.95359629;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:20";="020004495";3;typA;1;2;0;;0;0;;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:20";="020004495";3;entsor7;8;4;5;60;6;1;500;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:20";="020004495";3;entsor6;6;5;6;0;4;5;-20;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:20";="020004495";3;nbmulti;276;6;278;-0.71942446;174;197;-11.6751269;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:15";="020000055";1;eff;9;1;6;50;8;2;300;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:15";="020000055";1;typA;0;2;1;-100;0;0;;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:15";="020000055";1;entsor7;1;4;2;-50;1;1;0;2023.7;X020000055;29AUG23;9:24:09
