"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;valo;eff;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 10:38:25";="620003376";Dont Séjours valorisés avec n° innovation ne donnant pas droit à un forfait innovation;GHS;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:25";="620003376";Séjours valorisés avec n° innovation donnant droit à un forfait innovation;----;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:25";="620003376";Dont Séjours valorisés ne remplissant pas les critères d'obtention du forfait innovation (âge et/ou actes);GHS;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:25";="620003376";Dont Séjours valorisés avec Finess ne participant à l'étude;GHS;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:25";="620003376";Dont Séjours valorisés avec forfait innovation I01;I01;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:25";="620003376";Dont Séjours valorisés avec forfait innovation I02;I02;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:25";="620003376";Dont Séjours valorisés avec forfait innovation I03;I03;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:25";="620003376";Dont Séjours valorisés avec forfait innovation I04;I04;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:25";="620003376";Dont Séjours valorisés avec forfait innovation I05;I05;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:25";="620003376";Dont Séjours valorisés avec forfait innovation I061;I061;0;2023.7;X620003376;25AUG23;10:37:19
