"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nombre;nb_nonval;nombre_i0;nb_nonvalhp;nombre_et2;nombre_pbind;nb_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894389798;9438979;9438979;I000633;1;0;0;0;0;0;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894417286;9441728;9441728;I999999;47;0;0;0;0;0;47;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400890003926;9000392;9000392;I000234;2;0;0;0;0;0;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400890020183;9002018;9002018;I000121;1;0;0;0;0;0;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400892137377;9213737;9213737;I000284;76;0;0;0;0;0;76;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400892137377;9213737;9213737;I000287;350;0;0;0;0;0;350;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400892137377;9213737;9213737;I000288;40;0;0;0;0;0;40;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400892137377;9213737;9213737;I000290;190;0;0;0;0;0;190;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400892137377;9213737;9213737;I000292;182;0;0;0;0;0;182;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400892137377;9213737;9213737;I000293;54;0;0;0;0;0;54;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400893001813;9300181;9300181;I000268;102;0;0;0;0;0;102;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400893201664;9320166;9320166;I000121;1;1;0;0;0;0;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400893240526;9324052;9324052;I000079;18;6;0;0;0;0;12;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400893240526;9324052;9324052;I999999;63;47;0;0;0;0;16;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400893318799;9331879;9331879;I000310;13;0;0;0;0;0;13;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400893318799;9331879;9331879;I000464;3;0;0;0;0;3;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400893318799;9331879;9331879;I999999;1;0;0;0;0;0;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400893318850;9331885;9331885;I000310;60;1;0;0;0;0;59;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400893318850;9331885;9331885;I000464;3;0;0;0;0;3;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400893318850;9331885;9331885;I999999;1;0;0;0;0;0;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400893318911;9331891;9331891;I000310;9;1;0;0;0;0;8;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400893326206;9332620;9332620;I000077;11;2;0;0;0;0;9;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400893983522;9398352;9398352;I000287;73;0;0;0;0;0;73;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400894020592;9402059;9402059;I000103;162;0;0;0;0;0;162;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400894020592;9402059;9402059;I000104;61;0;0;0;0;0;61;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400894020592;9402059;9402059;I000530;11;0;0;0;0;0;11;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";3400894250203;9425020;9425020;I000335;37;0;0;0;0;0;37;2023.7;X620003376;25AUG23;10:37:19
