"champ";"statut";"annee";"periode";"date du resultat";"ipe";unite;code;nb;mnt_br;mnt_remb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;SF;400;15281.84;14947.688;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;SF  F;50;2881.76;2801.876;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;SF  N;63;4439.4;4228.56;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;SFI;101;317.19;271.9005;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;SFI F;32;345.21;288.691;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;SFI N;29;348.19;287.725;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;SIC;1;53.95;53.95;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;SUF;1;10.51;10.51;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;SUM;1;12.52;12.52;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;SUN;1;39.3;0;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;ACO;5;624.08;585.576;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;ADC;6;368.58;313.19;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;ADE;2028;113283.34;97301.828;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;ADI;1;119;119;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;AMI;100;515.025;444.78;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;AMI N;8;147.6;147.6;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;ATM;20;425.42;335.148;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;B;9;311.17;259.752;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;C;527;12121;11720.8;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;C   F;119;5104;4994;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;C   N;151;8700;8555;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;CS;690;15870;13199.7;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;CS  F;108;4458.36;3705.486;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;CS  N;145;6885.45;5869.485;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;FU2;3;104.46;104.46;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;FU3;1;40.67;40.67;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;G;74;1850;1605;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;G   F;26;1145.56;986.944;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;G   N;33;1980;1734;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;MCG;2;10;8.5;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;MCS;41;205;175;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;MM;97;3880;3696;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;MOP;2;10;10;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;MPC;942;1884;1566.2;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;MSF;797;1594;1541.2;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;SF;18;665.84;665.84;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;SFI;740;4559.034;4134.7188;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;SUF;1;10.51;10.51;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;SUM;1;12.52;12.52;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;SUN;1;39.65;39.65;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:15";="600100721";11;TB;50;189;163.296;2023.7;X600100721;30AUG23;17:55:00
