"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;PU;tarif;coef_mco;coef_mco_ok;qte_pb;br_pb;pb_coef;pb_coef2;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:03:33";="590000600";SE1;81.21;85.78;1.0019;0.9953;2;0;2;0;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:33";="590000600";SE4;21.65;21.7;0.9949;0.9943;5;0;5;0;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:33";="590000600";SE4;21.65;22.87;0.993;0.9953;7;7;0;7;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:33";="590000600";SE4;21.65;22.87;0.9949;0.9953;2;0;2;0;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 15:41:09";="590001749";SE1;85.78;85.78;1;0.9683;0;0;0;3;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:58:07";="620025346";CFU;11.22;11.12;0;1;1707;0;0;0;2023.7;X620025346;29AUG23;15:57:59
"mco";"dgf";"2023";"7";"2023/08/29 15:58:07";="620025346";FU1;27.53;29.78;0;1;1499;0;0;0;2023.7;X620025346;29AUG23;15:57:59
"mco";"dgf";"2023";"7";"2023/08/29 15:58:07";="620025346";FU3;41.11;40.67;0;1;1;0;0;0;2023.7;X620025346;29AUG23;15:57:59
"mco";"dgf";"2023";"7";"2023/08/29 15:58:07";="620025346";FU4;49.27;48.74;0;1;2;0;0;0;2023.7;X620025346;29AUG23;15:57:59
"mco";"dgf";"2023";"7";"2023/08/29 15:58:07";="620025346";SSF;18.73;18.89;0;1;357;0;0;0;2023.7;X620025346;29AUG23;15:57:59
"mco";"dgf";"2023";"7";"2023/08/29 15:58:07";="620025346";SUN;39.3;39.65;0;1;1;0;0;0;2023.7;X620025346;29AUG23;15:57:59
"mco";"dgf";"2023";"7";"2023/08/29 16:27:59";="620100651";ATU;27.17;27.17;0.9886;0.9943;0;0;1;0;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:59";="620100651";D15;825.29;825.29;0.993;0.9953;0;0;0;5;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:59";="620100651";D16;642.56;600.91;0.993;0.9943;1;0;0;1;2023.7;X620100651;29AUG23;16:27:45
