"champ";"statut";"annee";"periode";"date du resultat";"ipe";code1;mnt_avb;mnt_am_avb;mnt_apb;mnt_am_apb;mnt;mnt_am;mnt_br_fides;mnt_remb_fides;cpt;mnt_am_mat2a;mnt_am_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";DIALYSE;0;0;0;0;0;0;0;0;3;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";FTN;169403.41;169403.41;0;0;169403.41;1542959.7842;1373556.72;1373556.3742;4;169403.41;1373556.3742;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";CCAM;101826.42;90281.687;0;0;101826.42;1797796.7038;2010694.03;1707515.0168;5;90281.687;1707515.0168;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";SE;62371.442055;58390.962352;0;0;62371.442055;58390.962352;0;0;6;58390.962352;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";NGAP;59764.69;50200.803;0;0;59764.69;2023601.2496;2337747.145;1973400.4466;7;50200.803;1973400.4466;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";DMI;0;0;0;0;0;0;0;0;8;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";MED;0;0;0;0;0;0;0;0;9;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";INNOVATION;0;0;0;0;0;0;0;0;12;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";URGENCE;1617438.55;1617438.5245;0;0;1617438.55;1617438.5245;0;0;13;1617438.5245;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";ATU;42301.283622;36551.941619;0;0;42301.283622;36551.941619;0;0;1;36551.941619;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";FFM;0;0;0;0;0;0;0;0;2;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";DIALYSE;0;0;0;0;0;0;0;0;3;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";FTN;0;0;0;0;0;0;0;0;4;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";CCAM;58613.63;51227.108;0;0;58613.63;605102.127;648958.47;553875.019;5;51227.108;553875.019;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";SE;23631.685222;20756.615767;0;0;23631.685222;20756.615767;0;0;6;20756.615767;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";NGAP;53575.48;47571.342;0;0;53575.48;548567.10625;583512.6025;500995.76425;7;47571.342;500995.76425;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";DMI;0;0;0;0;0;0;0;0;8;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";MED;0;0;0;0;0;0;0;0;9;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";INNOVATION;0;0;0;0;0;0;0;0;12;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";URGENCE;417844.42;417844.40823;0;0;417844.42;417844.40823;0;0;13;417844.40823;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";ATU;0;0;0;0;0;0;0;0;1;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";FFM;0;0;0;0;0;0;0;0;2;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";DIALYSE;0;0;0;0;0;0;0;0;3;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";FTN;0;0;0;0;0;0;0;0;4;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";CCAM;791.75;727.416;0;0;791.75;82642.408;108240.41;81914.992;5;727.416;81914.992;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";SE;0;0;0;0;0;0;0;0;6;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";NGAP;0;0;0;0;0;64071.8435;80717.4975;64071.8435;7;0;64071.8435;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";DMI;0;0;0;0;0;0;0;0;8;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";MED;0;0;0;0;0;0;0;0;9;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";INNOVATION;0;0;0;0;0;0;0;0;12;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";URGENCE;0;0;0;0;0;0;0;0;13;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";ATU;0;0;0;0;0;0;0;0;1;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";FFM;0;0;0;0;0;0;0;0;2;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";DIALYSE;0;0;0;0;0;0;0;0;3;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";FTN;0;0;0;0;0;0;0;0;4;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";CCAM;8913.6;8312.64;0;0;8913.6;251305.60129;279404.57;242992.96129;5;8312.64;242992.96129;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";SE;5887.262046;5427.2031462;0;0;5887.262046;5427.2031462;0;0;6;5427.2031462;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";NGAP;0;0;0;0;0;109615.7938;124103.5;109615.7938;7;0;109615.7938;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";DMI;0;0;0;0;0;0;0;0;8;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";MED;0;0;0;0;0;0;0;0;9;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";INNOVATION;0;0;0;0;0;0;0;0;12;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";URGENCE;0;0;0;0;0;0;0;0;13;0;0;2023.7;X590785374;25AUG23;15:06:41
