"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;nb;nbok;montant;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400892680002;9268000;9268000;1232;1232;115496.92;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400892850795;9285079;9285079;30;30;3254.4;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400892981130;9298113;9298113;126;126;10030.86;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400892981420;9298142;9298142;77;77;7112.49;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400893325483;9332548;9332548;6;6;149.73;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400893530719;9353071;9353071;7;7;8.61;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400893544495;9354449;9354449;4;4;2288.08;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400893627044;9362704;9362704;1340;1340;9257.6;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400893804872;9380487;9380487;12;12;299.46;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400893804933;9380493;9380493;36;36;193.75;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400893840481;9384048;9384048;224;224;2206.18;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400893887219;9388721;9388721;1;1;245.74;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400893953945;9395394;9395394;2;2;1281.42;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400893957509;9395750;9395750;270;270;39100.85;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400893958100;9395810;9395810;21;21;7815.15;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400893964941;9396494;9396494;476;476;74186.47;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400893971116;9397111;9397111;2;2;1280.78;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400893988664;9398866;9398866;30;30;548.21;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894009948;9400994;9400994;4;4;2428.16;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894029298;9402929;9402929;168;168;5951.4;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894066149;9406614;9406614;540;540;19379.16;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894066200;9406620;9406620;300;300;10766.2;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894081975;9408197;9408197;21;21;3547.32;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894083009;9408300;9408300;49;49;3810.73;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894118169;9411816;9411816;120;120;1180.22;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894162513;9416251;9416251;30;30;5212.93;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894165934;9416593;9416593;52;52;3943.26;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894205838;9420583;9420583;165;165;2967;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894228721;9422872;9422872;21;21;2136.33;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894237136;9423713;9423713;300;300;13654.08;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894294665;9429466;9429466;448;448;11853.38;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894332848;9433284;9433284;38;38;775.96;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894332909;9433290;9433290;48;48;1225.44;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894334569;9433456;9433456;1;1;666.49;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894422020;9442202;9442202;112;112;10183.78;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894448853;9444885;9444885;240;240;5597.84;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894469155;9446915;9446915;4;4;102.12;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894511120;9451112;9451112;2;2;1025.38;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400894570431;9457043;9457043;13;13;3206.89;2022.11;X800000523;22DEC22;10:53:02
