"champ";"statut";"annee";"periode";"date du resultat";"ipe";diagp1;N;nbj;pctj;nbsej;pctcum;code;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";T81;23;238;1.5396558416;6;52.83348428;T81;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";C92;32;211;1.3649890025;25;54.198473282;C92;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";R26;38;211;1.3649890025;17;55.563462285;R26;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";C82;18;209;1.3520507181;4;56.915513003;C82;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";J91;13;205;1.3261741493;4;58.241687152;J91;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";C02;14;202;1.3067667227;3;59.548453875;C02;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";S31;22;198;1.280890154;4;60.829344029;S31;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";C83;17;196;1.2679518696;8;62.097295899;C83;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";F00;24;191;1.2356061586;9;63.332902057;F00;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";M86;16;178;1.1515073101;7;64.484409367;M86;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";K92;10;177;1.1450381679;1;65.629447535;K92;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";C56;19;164;1.0609393194;4;66.690386855;C56;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";C71;18;154;0.9962478975;6;67.686634752;C71;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";L97;14;148;0.9574330444;6;68.644067797;L97;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";Z90;24;144;0.9315564756;17;69.575624272;Z90;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";J90;10;142;0.9186181912;2;70.494242463;J90;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";T84;16;142;0.9186181912;6;71.412860655;T84;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";D46;28;139;0.8992107647;26;72.312071419;D46;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";L02;14;139;0.8992107647;5;73.211282184;L02;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";E43;17;134;0.8668650537;6;74.078147238;E43;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";I33;8;115;0.7439513521;3;74.82209859;I33;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";G12;12;112;0.7245439255;5;75.546642515;G12;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";I26;10;110;0.7116056411;3;76.258248156;I26;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";K70;16;108;0.6986673567;8;76.956915513;K70;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";E66;8;106;0.6857290723;3;77.642644585;E66;2022.11;X590782652;29DEC22;12:11:02
