"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghpcp;mpcp;mpca;ikmin;ikmax;N;nbseq;nbj;pctj;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";0264;03;02;40;40;16;12;258;1.2074129539;12;9;19.777777778;78.088730812;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";1066;09;11;40;40;12;4;227;1.0623362037;4;4;56.75;79.151067016;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";80%;;;30;100;2629;2311;16913;;;;;79.151067016;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";Tous;;;20;100;3158;2753;21368;;2447;2191;6.0164308535;100;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0367;04;00;40;40;145;95;1540;9.9624789753;77;8;21.375;9.9624789753;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0368;04;00;30;30;156;109;1537;9.9430715487;90;13;10.538461538;19.905550524;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";1010;09;00;70;80;82;52;837;5.4146720145;34;12;23;25.320222538;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0374;04;01;40;40;65;47;657;4.25022642;38;3;10;29.570448958;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";1012;09;00;50;50;49;32;524;3.3898305085;27;7;21.857142857;32.960279467;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0375;04;01;30;30;70;58;518;3.3510156553;51;10;14.3;36.311295122;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0876;08;00;70;80;29;13;517;3.3445465131;7;3;46;39.655841635;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";1013;09;00;40;40;49;28;506;3.273385949;24;4;29.5;42.929227584;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0373;04;01;50;50;37;25;480;3.105188252;22;1;6;46.034415836;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0366;04;00;50;50;38;29;428;2.7687928581;24;2;35;48.803208695;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";1011;09;00;60;60;34;26;384;2.4841506016;23;4;12;51.287359296;2022.11;X590782652;29DEC22;12:11:02
