"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;mpcacodm;nbcim;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2023/01/02 09:22:33";="600100721";07;97;65;1079;15.447387258;40;11.033364226;3.6886005561;63.321594069;68.860055607;157;51;44;20.840909091;39.355762348;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:33";="600100721";03;86;57;1046;14.974946314;40;10.543977055;3.1749521989;67.041108987;52.390057361;193;53;45;21.444444444;54.330708661;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:33";="600100721";04;94;64;1017;14.559770938;40;13.720747296;4.9262536873;77.507374631;22.123893805;172;52;45;22.044444444;68.890479599;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:33";="600100721";06;60;32;919;13.156764495;40;13.324265506;4.0783460283;71.46898803;100;134;29;26;29.076923077;82.047244094;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:33";="600100721";14;20;9;441;6.3135289907;40;13.875283447;4.1814058957;72.287981859;83.219954649;58;8;5;77.6;88.360773085;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:33";="600100721";01;22;9;414;5.9269863994;20;15.963768116;7.0845410628;57.507246377;100;47;9;9;46;94.287759485;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:33";="600100721";08;39;35;144;2.0615604868;50;8.6597222222;4.2222222222;71.368055556;18.75;35;35;33;4;96.349319971;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:33";="600100721";02;16;11;128;1.8324982105;40;13.8828125;3.8125;68.4765625;98.4375;61;11;10;11;98.181818182;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:33";="600100721";05;11;7;90;1.2884753042;40;12.788888889;2.4222222222;51.622222222;100;27;7;6;10.666666667;99.470293486;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:33";="600100721";17;2;1;23;0.3292770222;60;4;3;56;0;6;1;1;23;99.799570508;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:33";="600100721";10;1;1;14;0.2004294918;40;12;2;57;100;10;1;1;14;100;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:33";="600100721";99;538;336;6985;;40;11.86714388;3.9225483178;68.02662849;55.576208178;445;283;259;24.065637066;100;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";09;206;100;3512;43.002326436;50;8.1856492027;2.6275626424;72.078872437;15.888382688;134;90;73;36.02739726;43.002326436;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";03;100;60;1305;15.978939635;50;8.9195402299;3.1624521073;71.977011494;29.195402299;109;51;44;22.977272727;58.981266071;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";04;110;80;1246;15.256520142;40;11.670144462;3.676565008;76.030497592;30.738362761;115;68;62;19;74.237786213;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";14;54;28;883;10.8118036;40;14.67610419;4.5911664779;76.356738392;33.861834655;48;22;16;46.4375;85.049589813;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";06;19;9;357;4.3712501531;40;13.179271709;2.6666666667;51.507002801;99.159663866;26;9;7;19.714285714;89.420839966;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";02;22;14;282;3.452920289;40;9.5744680851;3.4964539007;63.776595745;67.730496454;26;9;8;32.625;92.873760255;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";08;15;7;261;3.195787927;30;15.670498084;7.6704980843;81.961685824;67.049808429;7;4;3;85.666666667;96.069548182;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";10;14;7;209;2.5590792213;50;8.8708133971;2;55.765550239;77.990430622;17;7;6;25.166666667;98.628627403;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";07;6;4;44;0.5387535203;40;11.272727273;4.7045454545;69.295454545;52.272727273;11;3;3;14.666666667;99.167380923;2022.11;X800000028;03JAN23;14:07:11
