"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;annee;mois;COUNT;PERCENT;noligne;nonval;count1;evol;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nombre de RAPSS transmis;2022;9;62;8.0519480519;1;;53;16.981132075;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de journées de présence;2022;9;799;;3;;830;-3.734939759;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nombre de RAPSS transmis;2022;10;71;9.2207792208;1;;70;1.4285714286;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de journées de présence;2022;10;831;;3;;918;-9.477124183;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nombre de RAPSS transmis;2022;11;60;7.7922077922;1;;59;1.6949152542;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de journées de présence;2022;11;722;;3;;858;-15.85081585;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nombre de RAPSS transmis;2022;12;63;8.1818181818;1;;63;0;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de journées de présence;2022;12;930;;3;;877;6.0433295325;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Nombre de RAPSS transmis;2022;1;163;7.8516377649;1;;163;0;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Nb de journées de présence;2022;1;1273;;3;;1267;0.4735595896;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Nombre de RAPSS transmis;2022;2;168;8.0924855491;1;;128;31.25;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Nb de journées de présence;2022;2;1169;;3;;1108;5.5054151625;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Nombre de RAPSS transmis;2022;3;194;9.344894027;1;;160;21.25;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:22";="590782652";Nb de journées de présence;2022;3;1446;;3;;1212;19.306930693;2022.12;X590782652;30JAN23;11:42:15
